Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
26779,11/11/2011 06:30:00 PM,Friday,Auto,Parked Vehicle,38,Aberdeen Way,,"38 Aberdeen Way Cambridge, MA",42.376306999999997,-71.146360000000001,"(42.376307, -71.14636)"
26784,11/11/2011 06:45:00 AM,Friday,Auto,Auto,,MOULTON ST,Concord Ave," MOULTON ST & Concord Ave Cambridge, MA",42.389614999999999,-71.148118999999994,"(42.389615, -71.148119)"
26785,11/11/2011 07:25:00 PM,Friday,Taxi,Auto,,Massachusetts Ave,Inman St," Massachusetts Ave & Inman St Cambridge, MA",42.366590000000002,-71.105680000000007,"(42.36659, -71.10568)"
26796,11/11/2011 12:00:00 PM,Friday,Auto,Parked Vehicle,3,DAVENPORT ST,,"3 DAVENPORT ST Cambridge, MA",42.389788000000003,-71.119564999999994,"(42.389788, -71.119565)"
26780,11/12/2011 11:26:00 AM,Saturday,Auto,Parked Vehicle,50,MOONEY ST,,"50 MOONEY ST Cambridge, MA",42.394635000000001,-71.152642,"(42.394635, -71.152642)"
26787,11/12/2011 02:45:00 AM,Saturday,Auto,Parked Vehicle,,North Point Blvd,Education Way," North Point Blvd & Education Way Cambridge, MA",42.369824999999999,-71.069733999999997,"(42.369825, -71.069734)"
26788,11/12/2011 11:15:00 AM,Saturday,Auto,Pedestrian,,Cambridge St,ELM ST," Cambridge St & ELM ST Cambridge, MA",42.373016999999997,-71.095346000000006,"(42.373017, -71.095346)"
26789,11/12/2011 09:21:00 PM,Saturday,Auto,Auto,306,PROSPECT ST,,"306 PROSPECT ST Cambridge, MA",42.372788,-71.098443000000003,"(42.372788, -71.098443)"
26790,11/12/2011 09:45:00 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,PLEASANT ST," Massachusetts Ave & PLEASANT ST Cambridge, MA",42.366408,-71.105391999999995,"(42.366408, -71.105392)"
26791,11/12/2011 10:02:00 PM,Saturday,Auto,Parked Vehicle,,Bigelow St,Doyle Way," Bigelow St & Doyle Way Cambridge, MA",42.367517999999997,-71.105834999999999,"(42.367518, -71.105835)"
26807,11/12/2011 03:30:00 PM,Saturday,Van,Parked Vehicle,150,ERIE ST,,"150 ERIE ST Cambridge, MA",42.359436000000002,-71.106875000000002,"(42.359436, -71.106875)"
26786,11/13/2011 12:59:00 AM,Sunday,Auto,Parked Vehicle,,Cambridge St,Cardinal Medeiros Ave," Cambridge St & Cardinal Medeiros Ave Cambridge, MA",42.372123000000002,-71.088455999999994,"(42.372123, -71.088456)"
26792,11/13/2011 02:39:00 AM,Sunday,Auto,Taxi,,MOUNT AUBURN ST,HOLYOKE ST," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA",42.371969999999997,-71.118573999999995,"(42.37197, -71.118574)"
26793,11/13/2011 02:00:00 PM,Sunday,Auto,Parked Vehicle,97,PINE ST,,"97 PINE ST Cambridge, MA",42.365769,-71.097768000000002,"(42.365769, -71.097768)"
26794,11/13/2011 02:17:00 PM,Sunday,Auto,Auto,100,Cambridge St,,"100 Cambridge St Cambridge, MA",42.372861,-71.094549999999998,"(42.372861, -71.09455)"
26801,11/13/2011 02:39:00 AM,Sunday,Auto,Auto,,MOUNT AUBURN ST,HOLYOKE ST," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA",42.371969999999997,-71.118573999999995,"(42.37197, -71.118574)"
26798,11/14/2011 07:02:00 PM,Monday,Auto,Auto,280,GREEN ST,,"280 GREEN ST Cambridge, MA",42.364628000000003,-71.104087000000007,"(42.364628, -71.104087)"
26797,11/15/2011 08:35:00 AM,Tuesday,Taxi,Truck,,JFK St,MOUNT AUBURN ST," JFK St & MOUNT AUBURN ST Cambridge, MA",42.372565999999999,-71.120144999999994,"(42.372566, -71.120145)"
26799,11/15/2011 09:49:00 AM,Tuesday,Auto,Parked Vehicle,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372101999999998,-71.088275999999993,"(42.372102, -71.088276)"
26802,11/15/2011 12:00:00 AM,Tuesday,Auto,Auto,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317000000002,-71.101021000000003,"(42.369317, -71.101021)"
26803,11/15/2011 08:19:00 AM,Tuesday,Truck,Bicycle,,Gore St,LAMBERT ST," Gore St & LAMBERT ST Cambridge, MA",42.373046000000002,-71.086493000000004,"(42.373046, -71.086493)"
26804,11/15/2011 03:14:00 PM,Tuesday,Auto,Auto,,FIRST ST,Cambridgeside Pl," FIRST ST & Cambridgeside Pl Cambridge, MA",42.367229000000002,-71.077734000000007,"(42.367229, -71.077734)"
26805,11/15/2011 05:13:00 PM,Tuesday,Auto,Parked Vehicle,850,Cambridge St,,"850 Cambridge St Cambridge, MA",42.372323999999999,-71.091316000000006,"(42.372324, -71.091316)"
26813,11/15/2011 05:06:00 PM,Wednesday,Auto,Bicycle,320,Broadway,,"320 Broadway Cambridge, MA",42.36918,-71.101398000000003,"(42.36918, -71.101398)"
26808,11/16/2011 07:30:00 AM,Wednesday,Auto,Parked Vehicle,11,Blackstone St,,"11 Blackstone St Cambridge, MA",42.362504999999999,-71.114401999999998,"(42.362505, -71.114402)"
26809,11/16/2011 12:14:00 PM,Wednesday,Truck,Pedestrian,,HOLYOKE ST,," HOLYOKE ST &  Cambridge, MA",,,
26810,11/16/2011 03:00:00 PM,Wednesday,Truck,Parked Vehicle,,PROSPECT ST,Broadway," PROSPECT ST & Broadway Cambridge, MA",42.369317000000002,-71.101021000000003,"(42.369317, -71.101021)"
26811,11/16/2011 05:10:00 PM,Wednesday,Auto,Fixed Object,,Gore St,LAMBERT ST," Gore St & LAMBERT ST Cambridge, MA",42.373046000000002,-71.086493000000004,"(42.373046, -71.086493)"
26812,11/16/2011 03:59:00 PM,Wednesday,Auto,Auto,222,Broadway,,"222 Broadway Cambridge, MA",42.366453999999997,-71.094031000000001,"(42.366454, -71.094031)"
26814,11/16/2011 06:14:00 PM,Wednesday,Auto,Parked Vehicle,,Western Ave,Blackstone St," Western Ave & Blackstone St Cambridge, MA",42.364404999999998,-71.114819999999995,"(42.364405, -71.11482)"
26815,11/16/2011 06:30:00 PM,Wednesday,Auto,Pedestrian,340,River St,,"340 River St Cambridge, MA",42.361142000000001,-71.114151000000007,"(42.361142, -71.114151)"
26816,11/16/2011 08:00:00 PM,Wednesday,Motorcycle,Parked Vehicle,13,REGENT ST,,"13 REGENT ST Cambridge, MA",42.390245999999998,-71.121920000000003,"(42.390246, -71.12192)"
26822,11/16/2011 03:00:00 PM,Wednesday,Auto,Parked Vehicle,,Massachusetts Ave,FRESH POND PKY," Massachusetts Ave & FRESH POND PKY Cambridge, MA",42.400948999999997,-71.136026000000001,"(42.400949, -71.136026)"
26823,11/16/2011 09:00:00 PM,Wednesday,Auto,Auto,124,MOUNT AUBURN ST,,"124 MOUNT AUBURN ST Cambridge, MA",42.373387999999998,-71.123320000000007,"(42.373388, -71.12332)"
26817,11/17/2011 07:44:00 AM,Thursday,Auto,Auto,79,JFK St,,"79 JFK St Cambridge, MA",42.371403000000001,-71.121388999999994,"(42.371403, -71.121389)"
26818,11/17/2011 08:00:00 AM,Thursday,Auto,Bicycle,232,Broadway,,"232 Broadway Cambridge, MA",42.366661000000001,-71.094595999999996,"(42.366661, -71.094596)"
26819,11/17/2011 08:15:00 AM,Thursday,Auto,Auto,,Walden St,Raymond St," Walden St & Raymond St Cambridge, MA",42.387396000000003,-71.127554000000003,"(42.387396, -71.127554)"
26824,11/17/2011 12:00:00 AM,Thursday,Auto,Parked Vehicle,777,MEMORIAL DR,,"777 MEMORIAL DR Cambridge, MA",42.358752000000003,-71.114977999999994,"(42.358752, -71.114978)"
26825,11/17/2011 05:00:00 PM,Thursday,Auto,Auto,1300,Massachusetts Ave,,"1300 Massachusetts Ave Cambridge, MA",42.372816,-71.117255,"(42.372816, -71.117255)"
26826,11/17/2011 06:00:00 PM,Thursday,Auto,Parked Vehicle,75,PLYMOUTH ST,,"75 PLYMOUTH ST Cambridge, MA",42.369047000000002,-71.093818999999996,"(42.369047, -71.093819)"
26827,11/17/2011 07:30:00 PM,Thursday,Auto,Parked Vehicle,71,FULKERSON ST,,"71 FULKERSON ST Cambridge, MA",42.369878,-71.087503999999996,"(42.369878, -71.087504)"
26828,11/18/2011 01:51:00 PM,Friday,Auto,Fixed Object,457,MOUNT AUBURN ST,,"457 MOUNT AUBURN ST Cambridge, MA",42.375245,-71.140648999999996,"(42.375245, -71.140649)"
26829,11/18/2011 04:28:00 PM,Friday,Auto,Bicycle,,ORCHARD ST,Blake St," ORCHARD ST & Blake St Cambridge, MA",42.391837000000002,-71.121002000000004,"(42.391837, -71.121002)"
26830,11/18/2011 05:55:00 PM,Friday,Auto,Auto,,JFK St,SOUTH ST," JFK St & SOUTH ST Cambridge, MA",42.371633000000003,-71.120921999999993,"(42.371633, -71.120922)"
25367,11/19/2011 12:04:00 AM,Wednesday,Auto,Parked Vehicle,,Albany St,Massachusetts Ave," Albany St & Massachusetts Ave Cambridge, MA",42.360827999999998,-71.096012000000002,"(42.360828, -71.096012)"
26831,11/19/2011 11:00:00 AM,Saturday,Auto,Auto,,Putnam Ave,KINNAIRD ST," Putnam Ave & KINNAIRD ST Cambridge, MA",42.367941999999999,-71.113525999999993,"(42.367942, -71.113526)"
26832,11/19/2011 11:29:00 AM,Saturday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372911999999999,-71.094511999999995,"(42.372912, -71.094512)"
26833,11/19/2011 12:59:00 PM,Saturday,Auto,Auto,186,Alewife Brook Pky,,"186 Alewife Brook Pky Cambridge, MA",42.391032000000003,-71.141350000000003,"(42.391032, -71.14135)"
26834,11/19/2011 08:29:00 PM,Saturday,Auto,Bicycle,350,Third St,Kendall Sq,"350 Third St Cambridge, MA",42.363675000000001,-71.083353000000002,"(42.363675, -71.083353)"
26839,11/19/2011 12:00:00 AM,Saturday,Auto,Parked Vehicle,,Willow St,York St," Willow St & York St Cambridge, MA",42.370007000000001,-71.093287000000004,"(42.370007, -71.093287)"
26835,11/20/2011 09:00:00 AM,Sunday,Auto,Parked Vehicle,,Windsor St,Cambridge St," Windsor St & Cambridge St Cambridge, MA",42.372750000000003,-71.093288000000001,"(42.37275, -71.093288)"
26836,11/20/2011 10:44:00 AM,Sunday,Auto,Bicycle,,HARVARD ST,PROSPECT ST," HARVARD ST & PROSPECT ST Cambridge, MA",42.368301000000002,-71.101742999999999,"(42.368301, -71.101743)"
26837,11/21/2011 02:54:00 PM,Monday,Auto,Truck,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392614999999999,-71.124874000000005,"(42.392615, -71.124874)"
26838,11/22/2011 02:19:00 PM,Tuesday,Auto,Truck,,MOUNT AUBURN ST,PLYMPTON ST," MOUNT AUBURN ST & PLYMPTON ST Cambridge, MA",42.371411999999999,-71.117052999999999,"(42.371412, -71.117053)"
26840,11/22/2011 07:02:00 PM,Tuesday,Auto,Auto,,MOUNT AUBURN ST,Coolidge Ave," MOUNT AUBURN ST & Coolidge Ave Cambridge, MA",42.374940000000002,-71.139720999999994,"(42.37494, -71.139721)"
26858,11/22/2011 02:42:00 PM,Tuesday,Auto,Fixed Object,15,HARDING ST,,"15 HARDING ST Cambridge, MA",42.373007000000001,-71.090603000000002,"(42.373007, -71.090603)"
26841,11/23/2011 12:00:00 AM,Wednesday,Auto,Parked Vehicle,,Bow St,Arrow St," Bow St & Arrow St Cambridge, MA",42.371577000000002,-71.115697999999995,"(42.371577, -71.115698)"
26842,11/23/2011 07:15:00 AM,Wednesday,Auto,Pedestrian,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202000000001,-71.098974999999996,"(42.372202, -71.098975)"
26843,11/23/2011 09:59:00 AM,Wednesday,Auto,Parked Vehicle,,PEARL ST,Tufts St," PEARL ST & Tufts St Cambridge, MA",42.357028999999997,-71.110911000000002,"(42.357029, -71.110911)"
26844,11/23/2011 11:15:00 AM,Wednesday,Auto,Parked Vehicle,75,HANCOCK ST,,"75 HANCOCK ST Cambridge, MA",42.368631000000001,-71.108665999999999,"(42.368631, -71.108666)"
26845,11/23/2011 06:11:00 PM,Wednesday,Auto,Auto,650,Concord Ave,,"650 Concord Ave Cambridge, MA",42.389353999999997,-71.149349999999998,"(42.389354, -71.14935)"
26846,11/24/2011 10:37:00 PM,Thursday,Auto,Auto,,Massachusetts Ave,Alewife Brook Pky," Massachusetts Ave & Alewife Brook Pky Cambridge, MA",42.400934999999997,-71.135994999999994,"(42.400935, -71.135995)"
26859,11/24/2011 10:30:00 PM,Thursday,Taxi,Parked Vehicle,1702,Massachusetts Ave,,"1702 Massachusetts Ave Cambridge, MA",42.383178000000001,-71.119760999999997,"(42.383178, -71.119761)"
26401,11/25/2011 06:40:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,Dana Pl," Massachusetts Ave & Dana Pl Cambridge, MA",42.369168999999999,-71.110776000000001,"(42.369169, -71.110776)"
26847,11/25/2011 12:59:00 PM,Friday,Auto,Parked Vehicle,364,Rindge Ave,,"364 Rindge Ave Cambridge, MA",42.393087999999999,-71.138992000000002,"(42.393088, -71.138992)"
26848,11/25/2011 02:01:00 PM,Friday,Auto,Auto,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154000000001,-71.094881999999998,"(42.360154, -71.094882)"
26849,11/26/2011 08:15:00 AM,Saturday,Auto,Auto,,Massachusetts Ave,Shepard St," Massachusetts Ave & Shepard St Cambridge, MA",42.381853,-71.119722999999993,"(42.381853, -71.119723)"
26850,11/26/2011 01:30:00 PM,Saturday,Auto,Auto,,Cambridge St,Massachusetts Ave," Cambridge St & Massachusetts Ave Cambridge, MA",42.376798999999998,-71.119803000000005,"(42.376799, -71.119803)"
26851,11/26/2011 04:34:00 PM,Saturday,Taxi,Bicycle,,Massachusetts Ave,STATE ST," Massachusetts Ave & STATE ST Cambridge, MA",42.362647000000003,-71.099069,"(42.362647, -71.099069)"
26852,11/27/2011 02:00:00 AM,Sunday,Auto,Parked Vehicle,,JAY ST,KINNAIRD ST," JAY ST & KINNAIRD ST Cambridge, MA",42.366675999999998,-71.110169999999997,"(42.366676, -71.11017)"
26853,11/27/2011 07:30:00 AM,Sunday,Auto,Auto,,Massachusetts Ave,Beech St," Massachusetts Ave & Beech St Cambridge, MA",42.390293999999997,-71.120996000000005,"(42.390294, -71.120996)"
26860,11/27/2011 08:29:00 PM,Sunday,Auto,Auto,,PLEASANT ST,GREEN ST," PLEASANT ST & GREEN ST Cambridge, MA",42.365872000000003,-71.106027999999995,"(42.365872, -71.106028)"
26854,11/28/2011 11:00:00 AM,Monday,Auto,Parked Vehicle,725,Concord Ave,,"725 Concord Ave Cambridge, MA",42.390473999999998,-71.152218000000005,"(42.390474, -71.152218)"
26855,11/28/2011 12:45:00 PM,Monday,Auto,Parked Vehicle,1580,Massachusetts Ave,,"1580 Massachusetts Ave Cambridge, MA",42.379133000000003,-71.120406000000003,"(42.379133, -71.120406)"
26856,11/28/2011 07:40:00 PM,Monday,Auto,Auto,,MASON ST,GARDEN ST," MASON ST & GARDEN ST Cambridge, MA",42.376564000000002,-71.122185000000002,"(42.376564, -71.122185)"
26861,11/28/2011 03:30:00 PM,Monday,Auto,Parked Vehicle,200,Alewife Brook Pky,,"200 Alewife Brook Pky Cambridge, MA",42.389764,-71.142318000000003,"(42.389764, -71.142318)"
26862,11/28/2011 10:59:00 PM,Monday,Auto,Fixed Object,6,JEFFERSON PARK,,"6 JEFFERSON PARK Cambridge, MA",42.372926,-71.088262,"(42.372926, -71.088262)"
26863,11/29/2011 08:45:00 AM,Tuesday,Auto,Parked Vehicle,,Porter Sq,," Porter Sq &  Cambridge, MA",,,
26864,11/29/2011 03:30:00 PM,Tuesday,Auto,Parked Vehicle,17,SHEA RD,,"17 SHEA RD Cambridge, MA",42.396648999999996,-71.128310999999997,"(42.396649, -71.128311)"
26865,11/29/2011 03:40:00 PM,Tuesday,Auto,Auto,,Ware St,HARVARD ST," Ware St & HARVARD ST Cambridge, MA",42.371839999999999,-71.113429999999994,"(42.37184, -71.11343)"
26866,11/29/2011 05:16:00 PM,Tuesday,Auto,Auto,195,PROSPECT ST,,"195 PROSPECT ST Cambridge, MA",42.370164000000003,-71.100834000000006,"(42.370164, -71.100834)"
26867,11/30/2011 08:00:00 AM,Wednesday,Auto,Auto,,Massachusetts Ave,Woodbridge St," Massachusetts Ave & Woodbridge St Cambridge, MA",42.395671,-71.128300999999993,"(42.395671, -71.128301)"
26868,11/30/2011 08:29:00 AM,Wednesday,Auto,Auto,592,HURON AVE,,"592 HURON AVE Cambridge, MA",42.378819,-71.148840000000007,"(42.378819, -71.14884)"
26869,11/30/2011 10:25:00 AM,Wednesday,Auto,Pedestrian,860,Massachusetts Ave,,"860 Massachusetts Ave Cambridge, MA",42.367482000000003,-71.107324000000006,"(42.367482, -71.107324)"
26870,11/30/2011 01:05:00 PM,Wednesday,Auto,Bicycle,,Ames St,Amherst St," Ames St & Amherst St Cambridge, MA",42.360008999999998,-71.087643,"(42.360009, -71.087643)"
26871,11/30/2011 02:25:00 PM,Wednesday,Auto,Bicycle,,River St,Blackstone St," River St & Blackstone St Cambridge, MA",42.362009,-71.114306999999997,"(42.362009, -71.114307)"
26872,11/30/2011 04:12:00 PM,Wednesday,Auto,Bicycle,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812000000001,-71.089386000000005,"(42.364812, -71.089386)"
26873,11/30/2011 05:15:00 PM,Wednesday,Auto,Auto,,Winthrop Sq,JFK St," Winthrop Sq & JFK St Cambridge, MA",42.372149999999998,-71.120497,"(42.37215, -71.120497)"
26874,11/30/2011 06:00:00 PM,Wednesday,Truck,Parked Vehicle,,DUNSTER ST,MOUNT AUBURN ST," DUNSTER ST & MOUNT AUBURN ST Cambridge, MA",42.372252000000003,-71.119338999999997,"(42.372252, -71.119339)"
26875,11/30/2011 06:59:00 PM,Wednesday,Taxi,Bicycle,,Brookline St,Putnam Ave," Brookline St & Putnam Ave Cambridge, MA",42.357368999999998,-71.108023000000003,"(42.357369, -71.108023)"
26877,11/30/2011 09:30:00 AM,Wednesday,Auto,Parked Vehicle,9,SHERIDAN ST,,"9 SHERIDAN ST Cambridge, MA",42.388387000000002,-71.128643999999994,"(42.388387, -71.128644)"
25442,12/01/2011 12:00:00 AM,Tuesday,Auto,Parked Vehicle,21,SURREY ST,,"21 SURREY ST Cambridge, MA",42.368796000000003,-71.114232999999999,"(42.368796, -71.114233)"
26876,12/01/2011 04:16:00 PM,Thursday,Auto,Auto,,GARDEN ST,Winslow St," GARDEN ST & Winslow St Cambridge, MA",42.384194999999998,-71.130211000000003,"(42.384195, -71.130211)"
26878,12/01/2011 08:29:00 AM,Thursday,Auto,Parked Vehicle,,Market St,Windsor St," Market St & Windsor St Cambridge, MA",42.367707000000003,-71.095190000000002,"(42.367707, -71.09519)"
26908,12/01/2011 06:00:00 PM,Thursday,Auto,Parked Vehicle,,Massachusetts Ave,Washburn Ave," Massachusetts Ave & Washburn Ave Cambridge, MA",42.398823999999998,-71.131961000000004,"(42.398824, -71.131961)"
27000,12/01/2011 12:30:00 PM,Tuesday,Auto,Auto,,Acacia St,Bishop Allen Dr," Acacia St & Bishop Allen Dr Cambridge, MA",,,
26879,12/02/2011 12:45:00 PM,Friday,Auto,Pedestrian,,MAIN ST,Portland St," MAIN ST & Portland St Cambridge, MA",42.362974000000001,-71.093633999999994,"(42.362974, -71.093634)"
26880,12/03/2011 08:00:00 AM,Saturday,Auto,Parked Vehicle,70,Porter Rd,,"70 Porter Rd Cambridge, MA",42.389726000000003,-71.121235999999996,"(42.389726, -71.121236)"
26881,12/03/2011 05:39:00 PM,Saturday,Auto,Auto,18,White St,,"18 White St Cambridge, MA",42.388885999999999,-71.118290999999999,"(42.388886, -71.118291)"
26882,12/03/2011 08:00:00 PM,Saturday,Auto,Auto,,Sidney St,ERIE ST," Sidney St & ERIE ST Cambridge, MA",42.358376999999997,-71.104875000000007,"(42.358377, -71.104875)"
26883,12/03/2011 09:34:00 PM,Saturday,MBTA Bus,Pedestrian,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372101999999998,-71.088275999999993,"(42.372102, -71.088276)"
26888,12/04/2011 11:00:00 AM,Sunday,Auto,Parked Vehicle,43,HOMER AVE,,"43 HOMER AVE Cambridge, MA",42.376300999999998,-71.148105000000001,"(42.376301, -71.148105)"
26889,12/04/2011 05:48:00 PM,Sunday,Auto,Auto,2055,Massachusetts Ave,,"2055 Massachusetts Ave Cambridge, MA",42.391393000000001,-71.122275999999999,"(42.391393, -71.122276)"
28894,03/18/2013 05:00:00 PM,Monday,Auto,Parked Vehicle,,FRESH POND PKY,," FRESH POND PKY &  Cambridge, MA",,,
26886,12/05/2011 07:09:00 AM,Monday,Auto,Parked Vehicle,,Walker St,GARDEN ST," Walker St & GARDEN ST Cambridge, MA",42.379657000000002,-71.124694000000005,"(42.379657, -71.124694)"
26887,12/05/2011 08:19:00 AM,Monday,Auto,Auto,,Massachusetts Ave,Cogswell Ave," Massachusetts Ave & Cogswell Ave Cambridge, MA",42.391767999999999,-71.123874999999998,"(42.391768, -71.123875)"
26890,12/05/2011 09:45:00 PM,Monday,Auto,Fixed Object,59,Rindge Ave,,"59 Rindge Ave Cambridge, MA",42.392667000000003,-71.127352999999999,"(42.392667, -71.127353)"
26891,12/06/2011 07:19:00 AM,Tuesday,Auto,Auto,435,Broadway,,"435 Broadway Cambridge, MA",42.37236,-71.108564000000001,"(42.37236, -71.108564)"
26892,12/06/2011 02:00:00 PM,Tuesday,Auto,Parked Vehicle,211,Alewife Brook Pky,,"211 Alewife Brook Pky Cambridge, MA",42.389553999999997,-71.142674999999997,"(42.389554, -71.142675)"
26893,12/06/2011 07:34:00 PM,Tuesday,Auto,Auto,,GARDEN ST,Shepard St," GARDEN ST & Shepard St Cambridge, MA",42.380116999999998,-71.125056999999998,"(42.380117, -71.125057)"
26894,12/06/2011 09:00:00 AM,Tuesday,Auto,Parked Vehicle,,Woodbridge St,Massachusetts Ave," Woodbridge St & Massachusetts Ave Cambridge, MA",42.395671,-71.128300999999993,"(42.395671, -71.128301)"
26895,12/06/2011 04:09:00 PM,Tuesday,Auto,Van,,FRESH POND PKY,Concord Ave," FRESH POND PKY & Concord Ave Cambridge, MA",42.386740000000003,-71.141024999999999,"(42.38674, -71.141025)"
26896,12/07/2011 09:49:00 AM,Wednesday,Auto,Auto,,River St,Fairmont Ave," River St & Fairmont Ave Cambridge, MA",42.362664000000002,-71.112361000000007,"(42.362664, -71.112361)"
26897,12/07/2011 11:15:00 AM,Wednesday,Auto,Auto,,Peabody St,Broadway," Peabody St & Broadway Cambridge, MA",42.375525000000003,-71.118476000000001,"(42.375525, -71.118476)"
26898,12/07/2011 02:25:00 PM,Wednesday,Auto,Auto,,MASON ST,PHILLIPS PL," MASON ST & PHILLIPS PL Cambridge, MA",42.376261,-71.123608000000004,"(42.376261, -71.123608)"
26899,12/07/2011 08:30:00 PM,Wednesday,Auto,Pedestrian,96,Concord Ave,,"96 Concord Ave Cambridge, MA",42.381293999999997,-71.129389000000003,"(42.381294, -71.129389)"
26900,12/07/2011 05:25:00 PM,Wednesday,Auto,Pedestrian,,Second St,Binney St," Second St & Binney St Cambridge, MA",42.365354000000004,-71.079863000000003,"(42.365354, -71.079863)"
26901,12/07/2011 06:27:00 PM,Wednesday,Auto,Pedestrian,,Putnam Ave,PLEASANT ST," Putnam Ave & PLEASANT ST Cambridge, MA",42.360131000000003,-71.112776999999994,"(42.360131, -71.112777)"
26902,12/07/2011 05:19:00 PM,Wednesday,Auto,Pedestrian,,Franklin St,Blanche St," Franklin St & Blanche St Cambridge, MA",42.361555000000003,-71.100223999999997,"(42.361555, -71.100224)"
26944,12/07/2011 08:03:00 PM,,Auto,Parked Vehicle,,DUDLEY ST,Massachusetts Ave," DUDLEY ST & Massachusetts Ave Cambridge, MA",42.396635000000003,-71.129384999999999,"(42.396635, -71.129385)"
26903,12/08/2011 12:00:00 AM,Thursday,Auto,Auto,39,MONTGOMERY ST,,"39 MONTGOMERY ST Cambridge, MA",42.394647999999997,-71.133035000000007,"(42.394648, -71.133035)"
26904,12/08/2011 01:25:00 PM,Thursday,Auto,Auto,99,LEXINGTON AVE,,"99 LEXINGTON AVE Cambridge, MA",42.378492000000001,-71.140242999999998,"(42.378492, -71.140243)"
26905,12/08/2011 04:25:00 PM,Thursday,Auto,Auto,,GARDEN ST,Waterhouse St," GARDEN ST & Waterhouse St Cambridge, MA",42.377307000000002,-71.122862999999995,"(42.377307, -71.122863)"
26906,12/08/2011 08:51:00 PM,Thursday,Auto,Auto,,Hampshire St,Amory St," Hampshire St & Amory St Cambridge, MA",42.372844999999998,-71.099759000000006,"(42.372845, -71.099759)"
26909,12/09/2011 09:40:00 AM,Friday,Auto,Auto,,Galileo Galilei Way,Broadway," Galileo Galilei Way & Broadway Cambridge, MA",42.364801999999997,-71.089412999999993,"(42.364802, -71.089413)"
26910,12/09/2011 02:00:00 PM,Friday,Auto,Pedestrian,2254,Massachusetts Ave,,"2254 Massachusetts Ave Cambridge, MA",42.394061999999998,-71.127054999999999,"(42.394062, -71.127055)"
26911,12/09/2011 07:47:00 PM,Friday,Auto,Auto,,PRENTISS ST,OXFORD AVE," PRENTISS ST & OXFORD AVE Cambridge, MA",42.375610000000002,-71.156672,"(42.37561, -71.156672)"
26930,12/09/2011 02:49:00 PM,Friday,Auto,Parked Vehicle,114,MAGAZINE ST,,"114 MAGAZINE ST Cambridge, MA",42.359929999999999,-71.110061000000002,"(42.35993, -71.110061)"
26912,12/10/2011 01:44:00 AM,Saturday,Auto,Auto,1611,Cambridge St,,"1611 Cambridge St Cambridge, MA",42.374861000000003,-71.108304000000004,"(42.374861, -71.108304)"
26936,12/10/2011 09:46:00 AM,,Auto,Auto,,Walden St,," Walden St &  Cambridge, MA",,,
26914,12/11/2011 09:59:00 AM,Sunday,Auto,Parked Vehicle,1815,Massachusetts Ave,,"1815 Massachusetts Ave Cambridge, MA",42.387127,-71.118973999999994,"(42.387127, -71.118974)"
26937,12/11/2011 09:40:00 AM,,Auto,Auto,,MOUNT AUBURN ST,Dewolfe St," MOUNT AUBURN ST & Dewolfe St Cambridge, MA",42.371077,-71.116118,"(42.371077, -71.116118)"
26915,12/12/2011 09:14:00 AM,Monday,Truck,Parked Vehicle,301,Binney St,Rogers St,"301 Binney St Cambridge, MA",42.366584000000003,-71.087968000000004,"(42.366584, -71.087968)"
26916,12/12/2011 04:57:00 PM,Monday,Auto,Auto,,FIRST ST,Cambridgeside Pl," FIRST ST & Cambridgeside Pl Cambridge, MA",42.367229000000002,-71.077734000000007,"(42.367229, -71.077734)"
26917,12/12/2011 05:41:00 PM,Monday,Motorcycle,Auto,,MOUNT AUBURN ST,Willard St," MOUNT AUBURN ST & Willard St Cambridge, MA",42.374569000000001,-71.128428,"(42.374569, -71.128428)"
26918,12/12/2011 08:00:00 PM,Monday,Auto,Parked Vehicle,49,White St,,"49 White St Cambridge, MA",42.389702999999997,-71.118303999999995,"(42.389703, -71.118304)"
26919,12/12/2011 08:25:00 AM,Monday,School Bus,Parked Vehicle,,Windsor St,Market St," Windsor St & Market St Cambridge, MA",42.367707000000003,-71.095190000000002,"(42.367707, -71.09519)"
26924,12/12/2011 11:29:00 AM,Monday,Auto,Parked Vehicle,,Land Blvd,Cambridge Ctr," Land Blvd & Cambridge Ctr Cambridge, MA",42.366982,-71.075411000000003,"(42.366982, -71.075411)"
