"","artist","genre","museums","born","firstName","nationality","medium","century"
"1839","George Minne","Symbolist","Dallas Museum of Art, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Musée d'Orsay, Musée d'Orsay, Museum of Modern Art, Aichi Prefectural Museum of Art, Cleveland Museum of Art, Courtauld Institute of Art, Harvard University Art Museums, Indianapolis Museum of Art, Los Angeles County Museum of Art, Neue Galerie Museum for German and Austrian Art, Royal Museums of Fine Arts of Belgium, Royal Museums of Fine Arts of Belgium Catalogue, Stiftung Moritzburg, Flemish Art Collection, Flemish Art Collection Database",1866,"George","Belgian","Sculptor",18
"1840","Mino da Fiesole","Early Renaissance","Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Cleveland Museum of Art, Courtauld Institute of Art, Musée des Beaux-Arts de Lyon, Philadelphia Museum of Art, Statens Museum for Kunst (National Gallery of Denmark), Art Fund for UK Museums",1429,"Mino","Italian","Sculptor",14
"1841",NA,"Surrealist","Art Institute of Chicago, Birmingham Museums & Art Gallery, Dallas Museum of Art, Fine Arts Museums of San Francisco, Guggenheim Museum, Guggenheim Museum, Metropolitan Museum of Art, Metropolitan Museum of Art , Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, Museum of Modern Art, Museum of Modern Art, Museum of Modern Art, National Galleries of Scotland, National Gallery of Art, National Gallery of Australia, Peggy Guggenheim Collection, Pilar & Joan Miro Foundation and Museum, San Francisco Museum of Modern Art, Smithsonian American Art Museum, Tate Gallery, Yale University Art Gallery, Akron Art Museum, Allen Art Museum at Oberlin College, Allen Art Museum at Oberlin College, Art Collection of the Biblioteca Luis Ángel Arango, Art Gallery of New South Wales, Art Gallery of Ontario, Ball State Museum of Art, Berkeley Art Museum + Pacific Film Archive, Block Museum of Art at Northwestern University, Caixa Galicia Foundation, Canton Museum of Art, Canton Museum of Art, Centre Pompidou, Céret Museum of Modern Art, Clay Center for the Arts & Sciences, Cleveland Museum of Art, Corcoran Gallery of Art, Crawford Art Gallery, Currier Gallery of Art, Fukuoka Art Museum, Fundació Suñol, Fundación Proa, Fundación Telefónica, Gallerie di Palazzo Leoni Montanari, Gallerie di Palazzo Leoni Montanari, Haifa Museum, Harvard University Art Museums, Hirshhorn Museum and Sculpture Garden, Indiana State University Art Collection, Indianapolis Museum of Art, Kimbell Art Museum, Kunstmuseum Basel, Lille Metropole Musee d'Art Moderne, Los Angeles County Museum of Art, Maier Museum of Art at Randolph-Macon Woman's College, Mildred Lane Kemper Art Museum, Milwaukee Art Museum, Minneapolis Institute of Arts, Musée des Beaux-Arts de Lyon, Musée des Beaux-Arts de Montréal, Museo del Territorio Biellese, Museo Nacional de Bellas Artes, Museo Patio Herreriano de Valladolid, Museu Nacional de Belas Artes, Museum Boijmans Van Beuningen, Museum of Contemporary Art, Museum of Modern Art, Nasher Sculpture Center, National Museum of Western Art, Palazzo Ruspoli, Philadelphia Museum of Art, Pomona College Museum of Art, Reina Sofía National Museum, Royal Museums of Fine Arts of Belgium Catalogue, Saint Louis Art Museum, San Diego Museum of Art, San Jose Museum of Art, Snite Museum of Art at the University of Notre Dame, Studio Esseci, The Albertina, Thyssen-Bornemisza Museum, Thyssen-Bornemisza Museum, University of Iowa Museum of Art, University of Iowa Museum of Art, Van Abbemuseum, Walker Art Center, Wichita Art Museum, Wichita State University Outdoor Sculpture Collection, Smithsonian American Art Museum National Art Inventories",1893,"5724","Spanish","Painter",18
"1842","Ottavio Miseroni","Baroque Era","Kunsthistorisches Museum Databank, Louvre Museum, Metropolitan Museum of Art, Prado Museum Database",1567,"Ottavio","Italian","Jeweller",15
"1843","Joan Mitchell","Abstract Expressionist","Art Institute of Chicago, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Guggenheim Museum, Metropolitan Museum of Art, Museum of Fine Arts, Museum of Modern Art, National Gallery of Art, Peggy Guggenheim Collection, San Francisco Museum of Modern Art, Smithsonian American Art Museum, The Phillips Collection, Whitney Museum of American Art, Addison Gallery of American Art, Allen Art Museum at Oberlin College, Birmingham Museum of Art, Blanton Museum of Art at the University of Texas, Cleveland Museum of Art, Currier Gallery of Art, Harvard University Art Museums, Hirshhorn Museum and Sculpture Garden, Hofstra University Museum, Kemper Museum of Contemporary Art, Los Angeles County Museum of Art, Mildred Lane Kemper Art Museum, National Museum of Women in the Arts, Philadelphia Museum of Art, Rhode Island School of Design Museum of Art, Smart Museum of Art at the University of Chicago, University of Iowa Museum of Art, University of Kentucky Art Museum, Walker Art Center",1926,"Joan","American","Painter",19
"1844","Hasegawa Mitsunobu","Ukiyo-e","Fine Arts Museums of San Francisco, Los Angeles County Museum of Art",1730,"Hasegawa","Japanese","Printmaker",17
"1845","Francesco Mochi","Baroque Era","Art Institute of Chicago, J. Paul Getty Museum, Courtauld Institute of Art",1580,"Francesco","Italian","Sculptor",15
"1846","Amedeo Modigliani","Expressionist","Art Institute of Chicago, Dallas Museum of Art, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Guggenheim Museum, Metropolitan Museum of Art, Museum of Fine Arts, Museum of Fine Arts, Museum of Modern Art, National Gallery of Art, National Gallery of Australia, Norton Simon Museum, Peggy Guggenheim Collection, Réunion des Musées Nationaux, Tate Gallery, Aichi Prefectural Museum of Art, Albright-Knox Art Gallery, Allen Art Museum at Oberlin College, Art Gallery of Ontario, Art Gallery of Ontario, Block Museum of Art at Northwestern University, Cincinnati Art Museum, Cleveland Museum of Art, Courtauld Institute of Art, Currier Gallery of Art, E.G. Bührle Collection, Estorick Collection of Modern Italian Art, Fondation Bemberg Museum, Galleria Nazionale d'Arte Moderna e Contemporanea, GAM - Galleria Civica d'Arte Moderna e Contemporanea, Harvard University Art Museums, Hirshhorn Museum and Sculpture Garden, Indianapolis Museum of Art, Koninklijk Royal Museum of Fine Arts, Kunstmuseum Basel, Kunstmuseum Lucerne, Lille Metropole Musee d'Art Moderne, Los Angeles County Museum of Art, Manchester City Art Gallery, Mildred Lane Kemper Art Museum, Minneapolis Institute of Arts, Musée de l'Orangerie, Musée des Beaux-Arts de Rouen, Musée des Beaux-Arts de Rouen, Museo Nacional de Bellas Artes, Museu de Arte de São Paulo, Museum of Modern Art, National Gallery of Victoria, National Gallery of Victoria, National Museum of Modern Art, Philadelphia Museum of Art, Princeton University Art Museum, Saint Louis Art Museum, San Diego Museum of Art, Staatsgalerie Stuttgart, Statens Museum for Kunst (National Gallery of Denmark), Studio Esseci, The Barnes Foundation, The Jewish Museum, Thyssen-Bornemisza Museum, Thyssen-Bornemisza Museum, Valtion Taidemuseo (Finnish National Gallery), Valtion Taidemuseo (Finnish National Gallery), Flemish Art Collection, Flemish Art Collection Database",1884,"Amedeo","Italian","Painter",18
"1847","Claes Cornelisz. Moeyaert","Baroque Era","Detroit Institute of Arts, Fitzwilliam Museum at the University of Cambridge, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Mauritshuis Royal Picture Gallery, Metropolitan Museum of Art, Museum of Fine Arts, Amsterdams Historisch Museum, Ashmolean Museum at the University of Oxford, Bowdoin College Museum of Art, Courtauld Institute of Art, Museum Bredius, Philadelphia Museum of Art, Teylers Museum, Flemish Art Collection Database",1591,"Claes","Dutch","Painter",15
"1848","Antonio Molinari","Baroque Era","Hermitage Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Ball State Museum of Art, Ca' Rezzonico - Museo del Settecento Veneziano, Drawings from the Biblioteca Ambrosiana, Philadelphia Museum of Art, Studio Esseci, UK National Inventory of Continental European Paintings (NICE)",1655,"Antonio","Italian","Painter",16
"1849","Louisa Moillon","Baroque Era","Art Institute of Chicago, Louvre Museum Database, Norton Simon Museum, Musée des Augustins, Musée des Augustins, Musée des Augustins, Thyssen-Bornemisza Museum",1610,"Louisa","French","Painter",16
"1850","Pier Francesco Mola","Baroque Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, Hermitage Museum, J. Paul Getty Museum, Kress Foundation Collection, Kunsthistorisches Museum Databank, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery, National Gallery of Art, Prado Museum Database, Royal Academy of Arts Collection, The Royal Collection, Allen Art Museum at Oberlin College, Ashmolean Museum at the University of Oxford, Bilbao Fine Arts Museum, Cleveland Museum of Art, Courtauld Institute of Art, Drawings from the Biblioteca Ambrosiana, Harvard University Art Museums, Le Musée Ingres, Musée des Augustins, Musee Magnin, Museum Kunst Palast, Narodna Galerija (National Gallery), National Museum of Art of Romania, Palais Fesch Musée des Beaux-Arts, Philadelphia Museum of Art, Princeton University Art Museum, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Albertina Graphic Art Databank, Thyssen-Bornemisza Museum, Art Fund for UK Museums, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1612,"Pier","Italian","Painter",16
"1851","Jan Miense Molenaer","Baroque Era","Hermitage Museum, Kunsthistorisches Museum Databank, Liechtenstein Museum, Mauritshuis Royal Picture Gallery, Museum of Fine Arts, National Gallery, Norton Simon Museum, Rijksmuseum, Smithsonian American Art Museum, The Royal Collection, Art Gallery of Greater Victoria, Ashmolean Museum at the University of Oxford, Currier Gallery of Art, Frans Hals Museum, Indianapolis Museum of Art, North Carolina Museum of Art, Philadelphia Museum of Art, Phoenix Art Museum, Phoenix Art Museum, Rijksmuseum Twenthe, Seattle Art Museum, State Museums of Berlin, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Szépmûvészeti Múzeum, The Kremer Collection, Victoria and Albert Museum Catalogue, Virginia Museum of Fine Arts, Virtual Uffizi, Flemish Art Collection Database, UK National Inventory of Continental European Paintings (NICE)",1610,"Jan","Dutch","Painter",16
"1852","Klaes Molenaer","Baroque Era","Fitzwilliam Museum at the University of Cambridge, Crocker Art Museum, Harvard University Art Museums, Indianapolis Museum of Art, Manchester City Art Gallery, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, Vizcaya Museum and Gardens, Watford Museum, UK National Inventory of Continental European Paintings (NICE)",1630,"Klaes","Dutch","Painter",16
"1853","Pieter de Molyn","Baroque Era","Detroit Institute of Arts, Fitzwilliam Museum at the University of Cambridge, J. Paul Getty Museum, Louvre Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Rijksmuseum, Block Museum of Art at Northwestern University, Cleveland Museum of Art, Courtauld Institute of Art, Frans Hals Museum, Harvard University Art Museums, Museum Bredius, Princeton University Art Museum, Rijksmuseum Twenthe, Royal Museums of Fine Arts of Belgium Catalogue, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Albertina Graphic Art Databank, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1595,"Pieter","English","Painter",15
"1854",NA,"Neo-Plasticist","Art Institute of Chicago, Dallas Museum of Art, Guggenheim Museum, Metropolitan Museum of Art, Metropolitan Museum of Art , Musée d'Orsay, Museum of Fine Arts, Museum of Fine Arts, Museum of Modern Art, National Galleries of Scotland, National Gallery of Art, National Gallery of Canada, Norton Simon Museum, Peggy Guggenheim Collection, Rijksmuseum, Tate Gallery, Yale University Art Gallery, Allen Art Museum at Oberlin College, Carnegie Museum of Art, Cleveland Museum of Art, Frans Hals Museum, Galleria Nazionale d'Arte Moderna e Contemporanea, Gemeentemuseum, Harvard University Art Museums, Hirshhorn Museum and Sculpture Garden, Kimbell Art Museum, Kröller-Müller Museum, Kunsthaus Zurich, Kunstmuseum Basel, Los Angeles County Museum of Art, MacKenzie Art Gallery, Mildred Lane Kemper Art Museum, MUMOK - Museum Moderner Kunst Stiftung Ludwig Wien, Musée Maurice Denis, Museum of Contemporary Art, Museum of Modern Art, Philadelphia Museum of Art, Rijksmuseum Twenthe, Staatliche Kunstsammlungen Dresden, State Museums of Florence, Stedelijk Museum of Modern Art, Studio Esseci, Thyssen-Bornemisza Museum, Toledo Museum of Art, Van Abbemuseum, Wallraf-Richartz-Museum, Art Fund for UK Museums",1872,"5761","Dutch","Painter",18
"1855","Hendrik Mommers","Baroque Era","Hermitage Museum, Rijksmuseum, Bowes Museum, Currier Gallery of Art, Indianapolis Museum of Art, Statens Museum for Kunst (National Gallery of Denmark), Art Fund for UK Museums, UK National Inventory of Continental European Paintings (NICE)",1623,"Hendrik","Dutch","Painter",16
"1856","Frans de Momper","Baroque Era","Fitzwilliam Museum at the University of Cambridge, Le Musée Ingres, Museum Bredius, Philadelphia Museum of Art, Royal Museums of Fine Arts of Belgium Catalogue, Statens Museum for Kunst (National Gallery of Denmark), UK National Inventory of Continental European Paintings (NICE)",1603,"Frans","Flemish","Painter",16
"1857","Jean-Baptiste Monnoyer","Baroque Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Hermitage Museum, J. Paul Getty Museum, Metropolitan Museum of Art, Metropolitan Museum of Art , Museum of Fine Arts, National Gallery of Art, The Royal Collection, Art Gallery of Ontario, Art Gallery of South Australia, Ball State Museum of Art, Boughton House, Bowes Museum, Bowes Museum, Bowes Museum, Cleveland Museum of Art, Le Musée Ingres, Musée des Augustins, Musée des Augustins, Thyssen-Bornemisza Museum, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1634,"Jean-Baptiste","French","Painter",16
"1858","Joos de Momper II","Baroque Era","Art Institute of Chicago, Birmingham Museums & Art Gallery, Fine Arts Museums of San Francisco, Hermitage Museum, Kunsthistorisches Museum Databank, Liechtenstein Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery, National Gallery of Art, Prado Museum Database, Rijksmuseum, Allen Art Museum at Oberlin College, Ashmolean Museum at the University of Oxford, Bowes Museum, CODART - Dutch and Flemish paintings in the Brukenthal Museum, Sibiu, Herzog Anton Ulrich-Museum, Kunstmuseum Basel, Le Musée de la Chartreuse de Douai, Los Angeles County Museum of Art, Memorial Art Gallery of the University of Rochester, Musée des Beaux-Arts de Bordeaux, Museum Bredius, North Carolina Museum of Art, Rijksmuseum Twenthe, Royal Museums of Fine Arts of Belgium Catalogue, Sheffield Galleries & Museums, Southampton City Art Gallery, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Walters Art Museum, University of Iowa Museum of Art, Valtion Taidemuseo (Finnish National Gallery), Von der Heydt-Museum, Flemish Art Collection Database, Flemish Art Collection Database, UK National Inventory of Continental European Paintings (NICE)",1564,"Joos","Flemish","Painter",15
"1859","Bartolomeo Montagna","Early Renaissance","Fine Arts Museums of San Francisco, Kress Foundation Collection, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery, National Gallery of Art, Rijksmuseum, The Royal Collection, Ashmolean Museum at the University of Oxford, Courtauld Institute of Art, Museo Correr, Museo Poldi Pezzoli, National Museum of Western Art, National Museums Liverpool, Pinacoteca Civica di Vicenza, State Museums of Florence Digital Archive, Studio Esseci, The Albertina Graphic Art Databank, The Walters Art Museum, Thyssen-Bornemisza Museum, Art Fund for UK Museums",1450,"Bartolomeo","Italian","Painter",14
"1860","Claude Monet","Impressionist","Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Fitzwilliam Museum PHAROS Website, Guggenheim Museum, Hermitage Museum, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Musée Marmottan Monet, Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, Museum of Modern Art, Museum of Modern Art, National Galleries of Scotland, National Gallery, National Gallery of Art, National Gallery of Australia, National Gallery of Australia, National Gallery of Canada, Nelson-Atkins Museum of Art, Nelson-Atkins Museum of Art, Neue Pinakothek, Norton Simon Museum, Réunion des Musées Nationaux, Rijksmuseum, Städel Museum, Tate Gallery, Yale University Art Gallery, Aberdeen Art Gallery and Museums, Albright-Knox Art Gallery, Allen Art Museum at Oberlin College, Allen Art Museum at Oberlin College, Amgueddfa Cymru - National Museum Wales, Art Collection of the Biblioteca Luis Ángel Arango, Art Gallery of New South Wales, Art Gallery of Ontario, Art Gallery of Ontario, Art Gallery of Ontario, Arthur Ross Gallery at the University of Pennsylvania, Ashmolean Museum at the University of Oxford, Barber Institute of Fine Arts, Beyeler Foundation Collection, Brooklyn Museum, Brooklyn Museum, Carnegie Museum of Art, Chichu Art Museum, Cincinnati Art Museum, Clark Art Institute, Clark Art Institute, Clark Art Institute, Cleveland Museum of Art, Columbia Museum of Art, Columbus Museum of Art, Corcoran Gallery of Art, Courtauld Institute of Art, Currier Gallery of Art, Davis Museum and Cultural Center, Dayton Art Institute, Dayton Art Institute, Dixon Gallery and Gardens, Dublin City Gallery | The Hugh Lane, Dunedin Public Art Gallery, E.G. Bührle Collection, Five College Museums Collections Database, Folkwang Museum, Fondation Bemberg Museum, Fondazione Magnani-Rocca, Fred Jones Jr. Museum of Art at the University of Oklahoma, Frick Art and Historical Center, Frick Collection, Galleria Nazionale d'Arte Moderna e Contemporanea, Gemeentemuseum, Glasgow Museums, Glynn Vivian Art Gallery, Harn Museum at the University of Florida, Harvard University Art Museums, High Museum of Art, Hill-Stead Museum, Indianapolis Museum of Art, Joslyn Art Museum, Kawamura Memorial Museum of Art, Kimbell Art Museum, Kröller-Müller Museum, Kunsthaus Zurich, Kunstmuseen Krefeld, Kunstmuseum Basel, Kunstmuseum St.Gallen, Kunstmuseum Winterthur, Le Musée des Beaux-Arts de Tours, Los Angeles County Museum of Art, Magyar Nemzeti Gal�ria (Hungarian National Gallery), McMaster Museum of Art, Memorial Art Gallery of the University of Rochester, Milwaukee Art Museum, Minneapolis Institute of Arts, Musée d'Unterlinden, Musée de l'Orangerie, Musée de l'Orangerie, Musée des Beaux-Arts de Lyon, Musée des Beaux-Arts de Rouen, Musée des Beaux-Arts de Rouen, Musée des Beaux-Arts de Rouen, Musées de Lorraine, Museo d'Arte della Città di Ravenna, Museo d'Arte della Città di Ravenna, Museo Nacional de Bellas Artes, Museu Calouste Gulbenkian, Museu de Arte de São Paulo, Museum Boijmans Van Beuningen, Museum Collection Database for the Region of Haute-Normandie, France, Museum of Fine Arts, Museum of Modern Art, National Gallery of Victoria, National Museum of Art of Romania, National Museum of Art of Romania, National Museum of Western Art, National Museums Liverpool, New Art Gallery, New Carlsberg Glyptotek, North Carolina Museum of Art, Oskar Reinhart Collection, Österreichische Galerie Belvedere, Palais des Beaux-Arts de Lille, Palazzo Ruspoli, Palazzo Ruspoli, Philadelphia Museum of Art, Philadelphia Museum of Art, Phoenix Art Museum, Portland Museum of Art, Portland Museum of Art, Princeton University Art Museum, Pushkin Museum of Fine Arts, Rhode Island School of Design Museum of Art, Rijksmuseum Twenthe, Royal Museums of Fine Arts of Belgium Catalogue, Saint Louis Art Museum, San Diego Museum of Art, Seattle Art Museum, Smith College Museum of Art, Smithsonian Archives of American Art, Southampton City Art Gallery, Spencer Museum of Art at the University of Kansas, Staatliche Kunstsammlungen Dresden, Staatsgalerie Stuttgart, Stedelijk Museum of Modern Art, Studio Esseci, Tel Aviv Museum of Art, The Albertina, The Barnes Foundation, The Ordrupgaard Collection, The Ordrupgaard Collection, The Walters Art Museum, Thyssen-Bornemisza Museum, Van Gogh Museum, Virginia Museum of Fine Arts, Von der Heydt-Museum, Wadsworth Atheneum Museum of Art, Wallraf-Richartz-Museum, Yamagata Museum of Art, Art Fund for UK Museums, Danish Museums Online, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1840,"Claude","French","Painter",18
"1861","Pierre Étienne Monnot","Baroque Era","Hermitage Museum, Louvre Museum Database, Museum of Fine Arts, National Gallery of Art, Prado Museum Database, Courtauld Institute of Art, Statens Museum for Kunst (National Gallery of Denmark)",1657,"Pierre","French","Painter",16
"1862","Juan Martinez Montañez","Baroque Era","Metropolitan Museum of Art, Museo de Bellas Artes de Sevilla, Museo San Gregorio, National Museum of Sculpture, museum database, The Wallace Collection",1568,"Juan","Spanish","Sculptor",15
"1863","Antonio Montauti","Baroque Era","Detroit Institute of Arts, Fine Arts Museums of San Francisco, National Gallery of Art, Ball State Museum of Art, Courtauld Institute of Art, Harvard University Art Museums, Los Angeles County Museum of Art",1685,"Antonio","Italian","Sculptor",16
"1864","Pierre-Eugène Montézin","Impressionist","Hirshhorn Museum and Sculpture Garden",1874,"Pierre-Eugène","French","Painter",18
"1865","Albert Joseph Moore","Classicist","Art Institute of Chicago, Birmingham Museums & Art Gallery, Detroit Institute of Arts, Metropolitan Museum of Art, National Gallery of Art, Tate Gallery, Carnegie Museum of Art, Cecil French Bequest Gallery, Courtauld Institute of Art, Delaware Art Museum, Dublin City Gallery | The Hugh Lane, Harvard University Art Museums, Hunterian Museum and Art Gallery, Manchester City Art Gallery, Minneapolis Institute of Arts, National Museums Liverpool, Princeton University Art Museum, Tullie House Museum & Art Gallery, Art Fund for UK Museums",1841,"Albert","English","Painter",18
"1866","Giovanni Angelo Montorsoli","High Renaissance","Kunsthistorisches Museum Databank, Rijksmuseum, Courtauld Institute of Art, Harvard University Art Museums",1507,"Giovanni","Italian","Sculptor",15
"1867","Luis de Morales","Mannerist","Hermitage Museum, Museum of Fine Arts, National Gallery, Prado Museum Database, Ashmolean Museum at the University of Oxford, Bilbao Fine Arts Museum, Minneapolis Institute of Arts, Museo de Bellas Artes de Valencia, Museo Nacional de Bellas Artes, Museum Collection Database for the Region of Haute-Normandie, France, Museum of the Hispanic Society of America, Museum of the Hispanic Society of America, State Museums of Florence Digital Archive, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1520,"Luis","Spanish","Painter",15
"1868","Paolo Moraldo","High Renaissance","Virtual Uffizi",1486,"Paolo","Italian","Painter",14
"1869","Thomas Moran","Hudson River School","Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, National Gallery of Art, Smithsonian American Art Museum, Addison Gallery of American Art, Akron Art Museum, Allen Art Museum at Oberlin College, Amon Carter Museum, Amon Carter Museum, Blanton Museum of Art at the University of Texas, Block Museum of Art at Northwestern University, Bolton Art Gallery, Bolton Art Gallery, Brooklyn Museum, Canton Museum of Art, Chazen Museum of Art at the University of Wisconsin, Cleveland Museum of Art, Cooper-Hewitt, National Design Museum, Corcoran Gallery of Art, Crystal Bridges Museum of American Art, Cummer Museum of Art, Figge Art Museum, Fred Jones Jr. Museum of Art at the University of Oklahoma, Gilcrease Museum, Harvard University Art Museums, Indianapolis Museum of Art, Jersey City Museum, Joslyn Art Museum, Juniata College Museum of Art, Lauren Rogers Museum of Art, Los Angeles County Museum of Art, Maier Museum of Art at Randolph-Macon Woman's College, Memorial Art Gallery of the University of Rochester, Minneapolis Institute of Arts, Museum of the National Academy of Design, National Park Service - History and Culture, North Carolina Museum of Art, Oklahoma City Museum of Art, Orlando Museum of Art, Orlando Museum of Art, Orlando Museum of Art, Palm Springs Desert Museum, Pennsylvania Academy of the Fine Arts, Philadelphia Museum of Art, Philbrook Museum of Art, Princeton University Art Museum, Rockwell Museum of Western Art, Rockwell Museum of Western Art, San Diego Museum of Art, Spencer Museum of Art at the University of Kansas, St. Johnsbury Athenaeum, Stark Museum of Art, Terra Foundation for American Art, The Huntington Library, The Parthenon, Here is a link to the jpg image, University of Virginia Art Museum, Virtual Museum of Canada, Virtual Museum of Canada, Virtual Museum of Canada, Westmoreland Museum of American Art, Wichita Art Museum, Art Fund for UK Museums, Smithsonian American Art Museum National Art Inventories",1837,"Thomas","English","Painter",18
"1870","Angelo Morbelli","Pointillist","Musée d'Orsay, Castello Visconteo, GAM - Galleria Civica d'Arte Moderna e Contemporanea",1853,"Angelo","Italian","Painter",18
"1871","Morazzone","Baroque Era","Drawings from the Biblioteca Ambrosiana, Hermitage Museum, J. Paul Getty Museum, Metropolitan Museum of Art, National Gallery of Art, Prado Museum Database, The Royal Collection, Blanton Museum of Art at the University of Texas, Courtauld Institute of Art, Los Angeles County Museum of Art, MacKenzie Art Gallery, Museo Diocesano di Milan, Museo Poldi Pezzoli, Palazzo Bianco, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank",1573,"Morazzone","Italian","Painter",15
"1872","Gustave Moreau","Symbolist","Art Institute of Chicago, Detroit Institute of Arts, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Musée National Gustave Moreau, National Gallery, National Gallery of Art, National Gallery of Canada, Hammer Museum, Harvard University Art Museums, Mildred Lane Kemper Art Museum, Musée des Beaux-Arts de Rouen, Museum of Fine Arts, National Museum of Western Art, Saint Louis Art Museum, State Museums of Berlin, Statens Museum for Kunst (National Gallery of Denmark), Thyssen-Bornemisza Museum, Virginia Museum of Fine Arts, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1826,"Gustave","French","Painter",18
"1873","Paulus Moreelse","Baroque Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Fitzwilliam Museum PHAROS Website, Hermitage Museum, Louvre Museum Graphic Art Database, Mauritshuis Royal Picture Gallery, Museum of Fine Arts, National Galleries of Scotland, National Gallery of Art, Prado Museum Database, Rijksmuseum, Smithsonian American Art Museum, The Royal Collection, Amsterdams Historisch Museum, Centraal Museum Database, Cleveland Museum of Art, Harvard University Art Museums, Los Angeles County Museum of Art, Minneapolis Institute of Arts, Museo Nacional de Bellas Artes, Philadelphia Museum of Art, Rijksmuseum Twenthe, Royal Museums of Fine Arts of Belgium Catalogue, San Diego Museum of Art, Smart Museum of Art at the University of Chicago, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Szépmûvészeti Múzeum, Teylers Museum, The Jewish Museum, The Kremer Collection, Joconde Database of French Museum Collections",1571,"Paulus","Dutch","Painter",15
"1874","Henri Moret","Impressionist","Hermitage Museum, Musée d'Orsay, Museum of Fine Arts, National Gallery of Art, Amgueddfa Cymru - National Museum Wales, Harvard University Art Museums, Indianapolis Museum of Art, Musée des Beaux-Arts de Quimper, Museum Collection Database for the Region of Haute-Normandie, France, Oglethorpe University Museum, Southampton City Art Gallery, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1856,"Henri","French","Painter",18
"1875","Moretto da Brescia","High Renaissance","Art Institute of Chicago, Hermitage Museum, Kress Foundation Collection, Kunsthistorisches Museum, Kunsthistorisches Museum Databank, Liechtenstein Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Metropolitan Museum of Art , National Gallery, National Gallery of Art, Städel Museum, Ashmolean Museum at the University of Oxford, Courtauld Institute of Art, Los Angeles County Museum of Art, Museo Poldi Pezzoli, National Gallery of Australia, North Carolina Museum of Art, Palazzo Rosso, try this page instead, Philadelphia Museum of Art, Pinacoteca Tosio Martinengo, State Museums of Florence Digital Archive, Joconde Database of French Museum Collections",1498,"Moretto","Italian","Painter",14
