"","artist","genre","museums","born","firstName","nationality","medium","century"
"24","John White Alexander","Symbolist","Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Metropolitan Museum of Art, Musée d'Orsay, Museum of Fine Arts, Smithsonian American Art Museum, Addison Gallery of American Art, Brooklyn Museum, Brooklyn Museum/Luce Center for American Art, Carnegie Museum of Art, Five College Museums Collections Database, Harvard University Art Museums, Los Angeles County Museum of Art, Museum of the National Academy of Design, Pennsylvania Academy of the Fine Arts, Philadelphia Museum of Art, Princeton University Art Museum, Smithsonian Archives of American Art, Joconde Database of French Museum Collections, La Fayette Database of American Art in French National Collections, Smithsonian American Art Museum National Art Inventories",1856,"John","American","Painter",18
"25","Cristofano Allori","Baroque Era","Art Institute of Chicago, Detroit Institute of Arts, Hermitage Museum, Kunsthistorisches Museum Databank, Louvre Museum Graphic Art Database, Prado Museum Database, The Royal Collection, Ashmolean Museum at the University of Oxford, Bowdoin College Museum of Art, Dulwich Picture Gallery, Los Angeles County Museum of Art, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank, Flemish Art Collection Database",1577,"Cristofano","Italian","Painter",15
"26","Etienne Allegrain","Baroque Era","Hermitage Museum, Metropolitan Museum of Art, Bowes Museum, Philadelphia Museum of Art, The Albertina Graphic Art Databank, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1644,"Etienne","French","Painter",16
"27","Washington Allston","Romantic","Detroit Institute of Arts, Fine Arts Museums of San Francisco, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Royal Academy of Arts Collection, Smithsonian American Art Museum, Smithsonian American Art Museum, Addison Gallery of American Art, Brooklyn Museum, Brooklyn Museum/Luce Center for American Art, Cleveland Museum of Art, Columbia Museum of Art, Farnsworth Art Museum, Five College Museums Collections Database, Gibbes Museum of Art, Harvard University Art Museums, Lowe Art Museum at the University of Miami, Mildred Lane Kemper Art Museum, National Portrait Gallery, Philadelphia Museum of Art, Terra Foundation for American Art, The Huntington Library, The Newark Museum, The Walters Art Museum, Worcester Art Museum, Smithsonian American Art Museum National Art Inventories",1779,"Washington","American","Painter",17
"28","Alessandro Allori","Mannerist","Art Institute of Chicago, Dallas Museum of Art, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Hermitage Museum, J. Paul Getty Museum, Kress Foundation Collection, Kunsthistorisches Museum Databank, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Prado Museum Database, The Royal Collection, Amgueddfa Cymru - National Museum Wales, Ashmolean Museum at the University of Oxford, Columbia Museum of Art, Courtauld Institute of Art, Harvard University Art Museums, Los Angeles County Museum of Art, Minneapolis Institute of Arts, Musee Magnin, North Carolina Museum of Art, Princeton University Art Museum, Royal Museums of Fine Arts of Belgium Catalogue, San Diego Museum of Art, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Walters Art Museum, Virtual Uffizi, Art Fund for UK Museums, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1535,"Alessandro","Italian","Painter",15
"29","Peder Als","Rococo Era","Hermitage Museum, Funen Kunstmuseum, Statens Museum for Kunst (National Gallery of Denmark)",1726,"Peder","Danish","Painter",17
"30","Sir Lawrence Alma-Tadema","Classicist","Art Institute of Chicago, Birmingham Museums & Art Gallery, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Museum of Fine Arts, National Gallery of Art, Prado Museum Database, Rijksmuseum, Royal Academy of Arts Collection, Tate Gallery, The Royal Collection, Akron Art Museum, Amgueddfa Cymru - National Museum Wales, Art Gallery of New South Wales, Ashmolean Museum at the University of Oxford, Bowes Museum, Brighton & Hove Museums, Bristol Museum and Art Gallery, Canton Museum of Art, Carnegie Museum of Art, Cecil French Bequest Gallery, Clark Art Institute, Clark Art Institute, Cleveland Museum of Art, Dahesh Museum, Dordrechts Museum, Harvard University Art Museums, Hood Museum of Art, Joslyn Art Museum, Manchester City Art Gallery, Memorial Art Gallery of the University of Rochester, Minneapolis Institute of Arts, Museum Bredius, National Gallery of Victoria, National Museums Liverpool, National Museums Liverpool, National Portrait Gallery, Philadelphia Museum of Art, State Museums of Florence Digital Archive, The Walters Art Museum, Tyne & Wear Museums Database, Van Gogh Museum, Victoria and Albert Museum Catalogue, D'Outre Manche Database of British Art in French Public Collections, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1836,NA,"English","Painter",18
"31","Denys van Alsloot","Baroque Era","Art Institute of Chicago, Hermitage Museum, J. Paul Getty Museum, Kunsthistorisches Museum Databank, Prado Museum Database, Brighton & Hove Museums, Royal Museums of Fine Arts of Belgium Catalogue, The Walters Art Museum, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1570,"Denys","Flemish","Painter",15
"32","Charles Alston","Harlem Renaissance","Metropolitan Museum of Art, National Gallery of Art, Currier Gallery of Art, Harvard University Art Museums, Smithsonian American Art Museum National Art Inventories",1907,"Charles","American","Painter",19
"33","Albrecht Altdorfer","Northern Renaissance","Alte Pinakothek, Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Hermitage Museum, J. Paul Getty Museum, Kunsthistorisches Museum, Kunsthistorisches Museum Databank, Louvre Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery, National Gallery of Art, Rijksmuseum, Städel Museum, Baltimore Museum of Art, Block Museum of Art at Northwestern University, Cleveland Museum of Art, Drawings from the Biblioteca Ambrosiana, Frick Collection, Harvard University Art Museums, Hunterian Museum and Art Gallery, Indianapolis Museum of Art, Kunstmuseum Basel, Los Angeles County Museum of Art, Minneapolis Institute of Arts, Museumslandschaft Hessen, National Gallery of Victoria, Philadelphia Museum of Art, Pomona College Museum of Art, Princeton University Art Museum, Schleswig-Holstein Museums, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank, The British Museum, Thyssen-Bornemisza Museum, Vejle Kunstmuseum, Art Fund for UK Museums",1480,"Albrecht","German","Painter",14
