"ABBREV","ACCF_RATE","ACCF_CNT","ACCF_ECNT","ACCM_RATE","ACCM_CNT","ACCM_ECNT","BLAF_RATE","BLAF_CNT","BLAF_ECNT","BLAM_RATE","BLAM_CNT","BLAM_ECNT","BRAF_RATE","BRAF_CNT","BRAF_ECNT","BRAM_RATE","BRAM_CNT","BRAM_ECNT","BREF_RATE","BREF_CNT","BREF_ECNT","CERF_RATE","CERF_CNT","CERF_ECNT","COLF_RATE","COLF_CNT","COLF_ECNT","COLM_RATE","COLM_CNT","COLM_ECNT","ESOF_RATE","ESOF_CNT","ESOF_ECNT","ESOM_RATE","ESOM_CNT","ESOM_ECNT","KIDF_RATE","KIDF_CNT","KIDF_ECNT","KIDM_RATE","KIDM_CNT","KIDM_ECNT","LEUF_RATE","LEUF_CNT","LEUF_ECNT","LEUM_RATE","LEUM_CNT","LEUM_ECNT","LGBF_RATE","LGBF_CNT","LGBF_ECNT","LGBM_RATE","LGBM_CNT","LGBM_ECNT","LUNF_RATE","LUNF_CNT","LUNF_ECNT","LUNM_RATE","LUNM_CNT","LUNM_ECNT","NHLF_RATE","NHLF_CNT","NHLF_ECNT","NHLM_RATE","NHLM_CNT","NHLM_ECNT","ORAF_RATE","ORAF_CNT","ORAF_ECNT","ORAM_RATE","ORAM_CNT","ORAM_ECNT","OTHF_RATE","OTHF_CNT","OTHF_ECNT","OTHM_RATE","OTHM_CNT","OTHM_ECNT","OVAF_RATE","OVAF_CNT","OVAF_ECNT","PANF_RATE","PANF_CNT","PANF_ECNT","PANM_RATE","PANM_CNT","PANM_ECNT","PROM_RATE","PROM_CNT","PROM_ECNT","RECF_RATE","RECF_CNT","RECF_ECNT","RECM_RATE","RECM_CNT","RECM_ECNT","STOF_RATE","STOF_CNT","STOF_ECNT","STOM_RATE","STOM_CNT","STOM_ECNT","UTEF_RATE","UTEF_CNT","UTEF_ECNT","ACCT_RATE","ACCT_CNT","ACCT_ECNT","BLAT_RATE","BLAT_CNT","BLAT_ECNT","BRAT_RATE","BRAT_CNT","BRAT_ECNT","BRET_RATE","BRET_CNT","BRET_ECNT","CERT_RATE","CERT_CNT","CERT_ECNT","COLT_RATE","COLT_CNT","COLT_ECNT","ESOT_RATE","ESOT_CNT","ESOT_ECNT","KIDT_RATE","KIDT_CNT","KIDT_ECNT","LEUT_RATE","LEUT_CNT","LEUT_ECNT","LGBT_RATE","LGBT_CNT","LGBT_ECNT","LUNT_RATE","LUNT_CNT","LUNT_ECNT","NHLT_RATE","NHLT_CNT","NHLT_ECNT","ORAT_RATE","ORAT_CNT","ORAT_ECNT","OTHT_RATE","OTHT_CNT","OTHT_ECNT","OVAT_RATE","OVAT_CNT","OVAT_ECNT","PANT_RATE","PANT_CNT","PANT_ECNT","PROT_RATE","PROT_CNT","PROT_ECNT","RECT_RATE","RECT_CNT","RECT_ECNT","STOT_RATE","STOT_CNT","STOT_ECNT","UTET_RATE","UTET_CNT","UTET_ECNT","REGION"
"HI",127.97,4228,4551,189.92,5583,6292,1.95,67,62,6.51,180,174,3.07,108,124,4.78,161,189,22.42,744,907,2.61,91,114,12.97,428,496,16.1,459,578,1.5,48,40,4.39,134,146,1.55,52,74,4.12,118,151,3.8,128,181,7.16,223,282,3.29,110,112,5.36,152,141,26.27,845,791,55.4,1649,2117,4.14,138,161,6.05,203,229,2.93,93,46,5.44,171,122,9.41,310,336,13.99,406,441,7.62,252,275,7.29,240,225,8.98,261,300,22.55,574,565,2.15,71,83,3.17,93,123,4.32,146,112,9.38,267,209,3,97,121,158.945,9811,10843,4.23,247,236,3.925,269,313,22.42,744,907,2.61,91,114,14.535,887,1074,2.945,182,186,2.835,170,225,5.48,351,463,4.325,262,253,40.835,2494,2908,5.095,341,390,4.185,264,168,11.7,716,777,7.62,252,275,8.135,501,525,22.55,574,565,2.66,164,206,6.85,413,321,3,97,121,"hawaii"
"IA",122.61,66146,70026,192.31,76095,79401,1.38,1037,1227,6.12,2540,2621,3.92,1642,1532,5.75,1995,1854,25.13,12463,12775,3.17,1431,1456,17.21,9884,8808,20.77,8194,7788,0.87,536,677,4.33,1731,1779,2.62,1377,1165,4.89,1902,1814,5.01,2783,2723,9.07,3408,3323,3.51,1923,1942,3.73,1475,1814,15.11,8647,11228,59.41,24254,25792,5.25,2831,2535,7.6,2822,2607,0.88,556,725,2.83,1167,1487,6.63,4026,5552,9.42,3752,5466,8.74,4209,4017,5.93,3498,3848,9.59,3743,3882,23.83,9461,8868,2.38,1374,1495,4.32,1657,1716,2.85,1647,2035,6.13,2392,2848,3.92,2075,2008,157.46,142241,149427,3.75,3577,3848,4.835,3637,3386,25.13,12463,12775,3.17,1431,1456,18.99,18078,16596,2.6,2267,2456,3.755,3279,2979,7.04,6191,6046,3.62,3398,3756,37.26,32901,37020,6.425,5653,5142,1.855,1723,2212,8.025,7778,11018,8.74,4209,4017,7.76,7241,7730,23.83,9461,8868,3.35,3031,3211,4.49,4039,4883,3.92,2075,2008,"iowa"
"ID",119.26,15360,17361,170.85,18827,22493,1.58,211,265,5.09,580,701,3.53,405,422,4.58,514,568,24.19,2940,3281,2.18,292,381,12.5,1602,2024,15.1,1651,2163,0.74,101,163,3.25,352,516,1.84,259,287,4.23,460,525,5.94,695,675,9.26,944,954,3.08,375,453,2.71,331,516,17.02,2305,2987,46.52,5376,7435,4.29,609,625,6.13,701,761,1.16,159,181,2.47,250,419,11.86,1401,1328,14.53,1521,1562,7.55,977,1027,5.93,851,915,8.65,1031,1089,24.6,2623,2370,2.13,267,338,2.82,338,467,2.45,373,458,6.24,673,783,3.6,471,479,145.055,34187,39854,3.335,791,966,4.055,919,990,24.19,2940,3281,2.18,292,381,13.8,3253,4187,1.995,453,679,3.035,719,812,7.6,1639,1629,2.895,706,969,31.77,7681,10422,5.21,1310,1386,1.815,409,600,13.195,2922,2890,7.55,977,1027,7.29,1882,2004,24.6,2623,2370,2.475,605,805,4.345,1046,1241,3.6,471,479,"idaho"
"IL",130.85,226339,219019,206.08,250493,243679,1.75,3541,3544,6.2,7966,7584,3.24,4892,5077,4.92,5931,6153,25.45,44394,41127,3.7,4834,4804,16.55,28295,26401,21.18,26090,23343,0.86,2013,2069,4.12,6072,5586,2.42,3928,3637,5.07,6101,5706,5.53,8811,8347,9.36,10633,10180,3.69,6739,5886,4.43,6282,5526,19.95,34989,36248,70.81,81787,81058,4.98,8144,7860,7.19,8558,8166,0.91,2057,2279,3.27,4985,4718,9.81,16766,16921,14.21,16615,16826,8.36,13793,12938,5.94,11820,11721,9.52,12232,11942,20.78,24518,24908,2.71,5039,4490,4.93,6276,5198,2.62,6394,6070,5.83,9146,8612,4.14,6855,6218,168.465,476832,462698,3.975,11507,11128,4.08,10823,11230,25.45,44394,41127,3.7,4834,4804,18.865,54385,49744,2.49,8085,7655,3.745,10029,9343,7.445,19444,18527,4.06,13021,11412,45.38,116776,117306,6.085,16702,16026,2.09,7042,6997,12.01,33381,33747,8.36,13793,12938,7.73,24052,23663,20.78,24518,24908,3.82,11315,9688,4.225,15540,14682,4.14,6855,6218,"illinois"
"IN",131.66,109343,108961,209.3,126123,121516,1.99,1855,1738,6.21,3748,3746,3.45,2586,2563,5.02,3131,3111,25,20075,20531,4.21,3002,2399,16.59,14200,13002,20.52,12189,11601,0.93,897,1023,4.4,2911,2787,2.62,1995,1812,5.36,3107,2853,5.49,4374,4180,9.22,5338,5122,3.56,2910,2900,4.57,2751,2751,21.19,18066,18255,73.3,44926,40423,4.52,3906,3910,6.78,4027,4111,0.85,841,1128,3.23,2030,2336,10.24,8651,8397,14.59,8806,8403,8.02,6418,6427,6.1,5361,5789,9.59,5867,5939,21.92,12358,12372,2.22,1988,2204,4.09,2479,2560,2.46,2256,2982,5.45,3429,4259,4.08,3454,3059,170.48,235466,230477,4.1,5603,5484,4.235,5717,5674,25,20075,20531,4.21,3002,2399,18.555,26389,24603,2.665,3808,3810,3.99,5102,4665,7.355,9712,9302,4.065,5661,5651,47.245,62992,58678,5.65,7933,8021,2.04,2871,3464,12.415,17457,16800,8.02,6418,6427,7.845,11228,11728,21.92,12358,12372,3.155,4467,4764,3.955,5685,7241,4.08,3454,3059,"indiana"
"KS",117.03,48848,54017,183.1,56689,61452,1.43,786,929,5.24,1778,2003,3.76,1323,1199,5.56,1605,1456,23.68,9138,9911,3.11,1152,1128,14.28,6357,6724,18.37,5632,5997,0.63,367,519,3.97,1139,1379,2.34,954,904,5.09,1567,1413,5.61,2144,2092,9.53,2703,2573,2.99,1323,1496,3.51,1076,1402,16.66,7296,8757,58.17,18674,20029,4.67,2003,1960,6.97,2069,2035,0.75,414,558,3.37,935,1154,6.59,2993,4254,8.77,2858,4241,8.39,3115,3117,6.19,2723,2950,9.71,2899,2999,21.22,6651,6776,1.82,887,1141,3.21,965,1319,2.6,1104,1552,5.86,1760,2189,3.79,1587,1542,150.065,105537,115469,3.335,2564,2932,4.66,2928,2655,23.68,9138,9911,3.11,1152,1128,16.325,11989,12721,2.3,1506,1898,3.715,2521,2317,7.57,4847,4665,3.25,2399,2898,37.415,25970,28786,5.82,4072,3995,2.06,1349,1712,7.68,5851,8495,8.39,3115,3117,7.95,5622,5949,21.22,6651,6776,2.515,1852,2460,4.23,2864,3741,3.79,1587,1542,"kansas"
"KY",130.88,72446,71979,214.1,89119,82746,1.71,1122,1135,5.27,2341,2587,4.05,1871,1701,5.36,2179,2090,22.39,12156,13575,4.98,2406,1575,15.49,9203,8535,18.08,7794,7941,0.82,532,678,3.52,1742,1887,2.42,1327,1202,4.78,1988,1930,4.86,2613,2739,8.59,3384,3484,4.22,2200,1912,5.25,2087,1876,23.75,13503,12171,83.47,34900,27424,4.15,2340,2593,6.39,2615,2784,1.03,693,743,3.33,1668,1580,9.3,5080,5528,14.08,5739,5721,7.25,4028,4257,6.2,3586,3819,10.11,4148,4046,20.08,8023,8555,2.08,1292,1438,3.22,1433,1753,3.4,1765,1957,6.57,2503,2908,3.96,2041,2018,172.49,161565,154725,3.49,3463,3722,4.705,4050,3791,22.39,12156,13575,4.98,2406,1575,16.785,16997,16476,2.17,2274,2565,3.6,3315,3132,6.725,5997,6223,4.735,4287,3788,53.61,48403,39595,5.27,4955,5377,2.18,2361,2323,11.69,10819,11249,7.25,4028,4257,8.155,7734,7865,20.08,8023,8555,2.65,2725,3191,4.985,4268,4865,3.96,2041,2018,"kentucky"
"LA",128.09,56915,57925,227.47,71881,64727,1.75,870,877,5.88,1791,1911,3.43,1299,1409,4.9,1638,1731,21.56,9724,11060,3.26,1200,1294,12.97,6129,6714,17.36,5589,6095,1.11,510,539,4.36,1461,1507,2.59,1120,961,5.1,1634,1540,5.56,2357,2201,9.6,2916,2733,3.52,1462,1509,5.66,1791,1462,23.57,10866,9972,85.98,27307,21869,4.85,2177,2074,7.03,2265,2216,1.3,639,601,4,1534,1255,12.59,5486,4399,19.68,6128,4494,6.11,2666,3466,7.86,3424,3030,12.17,3649,3152,21.5,6087,6243,1.81,916,1128,2.9,1104,1336,3.04,1387,1525,6.56,2000,2230,2.85,1227,1612,177.78,128796,122652,3.815,2661,2788,4.165,2937,3140,21.56,9724,11060,3.26,1200,1294,15.165,11718,12809,2.735,1971,2046,3.845,2754,2501,7.58,5273,4934,4.59,3253,2971,54.775,38173,31841,5.94,4442,4290,2.65,2173,1856,16.135,11614,8893,6.11,2666,3466,10.015,7073,6182,21.5,6087,6243,2.355,2020,2464,4.8,3387,3755,2.85,1227,1612,"louisiana"
"MA",148.37,148783,136179,227.8,153000,142139,2.22,2694,2280,6.89,4964,4472,3.47,2869,3063,4.91,3254,3517,30.43,29159,25239,3.2,2673,2916,17.47,19123,16739,23.07,16299,13684,1.69,1672,1298,6.2,4170,3246,2.54,2468,2266,5.17,3443,3306,4.75,4923,5210,8.6,5671,5928,3.09,3546,3717,5.52,3485,3226,24.42,22942,22239,69.29,46244,47072,4.7,5014,4907,7.5,4862,4750,1.97,1478,1416,5.18,3708,2726,11.92,12394,10640,17.94,12151,9819,8.96,8301,7947,7.35,7930,7383,10.93,7160,6958,25.22,15706,14847,3.15,3771,2848,6.11,4257,3031,4.15,5041,3861,8.6,6421,5027,3.88,4095,3891,188.085,301783,278318,4.555,7658,6752,4.19,6123,6580,30.43,29159,25239,3.2,2673,2916,20.27,35422,30423,3.945,5842,4544,3.855,5911,5572,6.675,10594,11138,4.305,7031,6943,46.855,69186,69311,6.1,9876,9657,3.575,5186,4142,14.93,24545,20459,8.96,8301,7947,9.14,15090,14341,25.22,15706,14847,4.63,8028,5879,6.375,11462,8888,3.88,4095,3891,"massachusetts"
"MD",145.38,76897,70503,225.43,85339,78058,2.13,1289,1075,6.9,2661,2289,3.47,1634,1700,5.07,1992,2100,27.01,14515,13533,3.98,1598,1597,16.99,9384,8191,22.14,8449,7325,1.27,792,657,5.79,2243,1830,2.19,1156,1163,4.82,1870,1866,4.91,2665,2659,8.5,3208,3259,3.33,1777,1833,4.7,1904,1765,28.95,14218,12063,77.31,28980,26461,4.56,2475,2519,6.61,2619,2684,1.44,858,728,4.36,1834,1533,12.43,7024,5361,18.02,7018,5428,8.33,4173,4217,6.58,3734,3681,9.67,3810,3807,23.97,8089,7440,2.89,1509,1383,4.89,1785,1606,2.68,1718,1870,6.06,2507,2683,3.77,1918,1957,185.405,162236,148561,4.515,3950,3364,4.27,3626,3800,27.01,14515,13533,3.98,1598,1597,19.565,17833,15516,3.53,3035,2487,3.505,3026,3029,6.705,5873,5918,4.015,3681,3598,53.13,43198,38524,5.585,5094,5203,2.9,2692,2261,15.225,14042,10789,8.33,4173,4217,8.125,7544,7488,23.97,8089,7440,3.89,3294,2989,4.37,4225,4553,3.77,1918,1957,"maryland"
