,category,target,current,percent_complt,people,avg_contrb,shares,days
454,  Memorials,8500,2530,70.2352941176,77,32.8571428571,476,3
455,  Memorials,10000,3610,63.9,77,46.8831168831,1500,2
456,  Memorials,3500,2490,28.8571428571,78,31.9230769231,1100,2
457,  Memorials,2500,4490,79.6,80,56.125,179,2
458,  Memorials,5000,8120,62.4,139,58.4172661871,1600,4
459,  Memorials,30000,23986,20.0466666667,316,75.9050632911,3100,5
460,  Memorials,10000,10660,6.6,85,125.411764706,413,3
461,  Memorials,10000,4205,57.95,85,49.4705882353,1000,2
462,  Sports,3000,3015,0.5,20,150.75,42,17
463,  Sports,6000,700,88.3333333333,7,100.0,76,4
465,  Sports,2500,1603,35.88,45,35.6222222222,190,13
466,  Sports,5462,270,95.0567557671,8,33.75,90,3
467,  Sports,9500,140,98.5263157895,8,17.5,172,4
469,  Volunteer,2500,905,63.8,43,21.0465116279,761,8
470,  Volunteer,5550,510,90.8108108108,10,51.0,74,6
471,  Volunteer,1200,735,38.75,24,30.625,70,29
472,  Volunteer,500,125,75.0,6,20.8333333333,93,2
473,  Volunteer,450,410,8.88888888889,14,29.2857142857,52,7
474,  Volunteer,1250,540,56.8,11,49.0909090909,45,19
475,  Volunteer,5000,1725,65.5,29,59.4827586207,144,31
476,  Volunteer,500,280,44.0,11,25.4545454545,86,8
477,  Volunteer,15000,5582,62.7866666667,94,59.3829787234,671,15
478,  Emergencies,10000,4825,51.75,91,53.021978022,388,4
479,  Emergencies,25000,11530,53.88,104,110.865384615,384,4
480,  Emergencies,10000,4830,51.7,65,74.3076923077,230,1
481,  Emergencies,50000,61200,22.4,66,927.272727273,291,3
482,  Education,3000,3271,9.03333333333,71,46.0704225352,245,10
483,  Education,650,420,35.3846153846,13,32.3076923077,36,2
485,  Education,6000,520,91.3333333333,14,37.1428571429,250,2
486,  Education,5000,1195,76.1,14,85.3571428571,71,2
487,  Emergencies,50000,18600,62.8,63,295.238095238,237,3
488,  Education,3000,441,85.3,14,31.5,82,4
489,  Education,20000,965,95.175,14,68.9285714286,92,3
490,  Education,10000,4020,59.8,49,82.0408163265,169,7
491,  Education,10000,8906,10.94,143,62.2797202797,229,10
492,  Emergencies,7500,5490,26.8,50,109.8,136,2
493,  Memorials,15000,8250,45.0,112,73.6607142857,537,9
494,  Emergencies,25000,6055,75.78,51,118.725490196,242,1
495,  Emergencies,10000,6285,37.15,50,125.7,206,4
496,  Emergencies,15000,7545,49.7,51,147.941176471,85,2
498,  Memorials,6000,2830,52.8333333333,60,47.1666666667,654,1
499,  Memorials,75000,65257,12.9906666667,479,136.235908142,2200,7
502,  Charity,2500,795,68.2,21,37.8571428571,173,38
503,  Medical,7000,4630,33.8571428571,77,60.1298701299,913,6
504,  Emergencies,10000,8450,15.5,47,179.787234043,332,4
505,  Memorials,10000,2005,79.95,54,37.1296296296,529,2
506,  Memorials,10000,4160,58.4,54,77.037037037,205,2
507,  Volunteer,1750,175,90.0,4,43.75,51,3
508,  Memorials,5000,3520,29.6,55,64.0,456,1
509,  Memorials,100000,76987,23.013,629,122.395866455,1700,12
510,  Memorials,10000,12315,23.15,175,70.3714285714,855,6
511,  Memorials,25000,35020,40.08,604,57.9801324503,4400,21
512,  Education,2000,850,57.5,9,94.4444444444,85,1
513,  Education,20000,1750,91.25,37,47.2972972973,246,14
514,  Education,500,440,12.0,14,31.4285714286,73,6
515,  Education,10000,1525,84.75,9,169.444444444,44,11
516,  Education,5000,6100,22.0,29,210.344827586,54,10
517,  Memorials,2000,1430,28.5,56,25.5357142857,964,1
518,  Memorials,1000,5290,429.0,57,92.8070175439,195,2
519,  Education,100000,410,99.59,15,27.3333333333,152,14
520,  Medical,2500,1865,25.4,61,30.5737704918,190,7
521,  Medical,500000,37584,92.4832,386,97.3678756477,1200,16
522,  Medical,3000,5090,69.6666666667,64,79.53125,32,3
523,  Medical,50000,6030,87.94,63,95.7142857143,663,3
524,  Medical,50000,12265,75.47,135,90.8518518519,1400,6
525,  Medical,20000,2802,85.99,64,43.78125,434,4
526,  Medical,10000,6805,31.95,65,104.692307692,292,3
528,  Medical,10000,5882,41.18,66,89.1212121212,262,3
529,  Memorials,10000,6370,36.3,58,109.827586207,810,3
530,  Medical,4000,2927,26.825,66,44.3484848485,165,2
531,  Memorials,7500,1955,73.9333333333,59,33.1355932203,510,1
532,  Memorials,20000,7200,64.0,59,122.033898305,239,3
533,  Volunteer,200,455,127.5,23,19.7826086957,93,10
535,  Volunteer,250,325,30.0,19,17.1052631579,86,19
536,  Volunteer,400,665,66.25,25,26.6,39,18
537,  Volunteer,3333,4599,37.9837983798,43,106.953488372,264,20
538,  Volunteer,1500,265,82.3333333333,6,44.1666666667,80,11
539,  Volunteer,300,478,59.3333333333,18,26.5555555556,240,40
540,  Emergencies,75000,5365,92.8466666667,45,119.222222222,1100,3
542,  Emergencies,10000,3435,65.65,45,76.3333333333,431,2
543,  Volunteer,3000,95,96.8333333333,4,23.75,64,3
544,  Emergencies,10000,2792,72.08,45,62.0444444444,264,3
545,  Emergencies,50000,8396,83.208,104,80.7307692308,293,5
546,  Emergencies,4000,4645,16.125,47,98.829787234,208,1
547,  Emergencies,1000000,2525,99.7475,45,56.1111111111,725,3
548,  Emergencies,20000,9705,51.475,77,126.038961039,411,5
549,  Emergencies,5000,2620,47.6,46,56.9565217391,68,3
550,  Emergencies,5000,4020,19.6,47,85.5319148936,384,2
551,  Animals,5000,1500,70.0,26,57.6923076923,71,4
552,  Animals,7000,545,92.2142857143,16,34.0625,123,3
553,  Animals,15000,985,93.4333333333,16,61.5625,186,14
554,  Animals,2000,665,66.75,18,36.9444444444,114,4
555,  Animals,3000,520,82.6666666667,16,32.5,226,4
557,  Animals,4000,3080,23.0,36,85.5555555556,126,21
558,  Medical,20000,6525,67.375,67,97.3880597015,918,2
559,  Medical,25000,16750,33.0,239,70.0836820084,730,8
560,  Animals,1000,845,15.5,18,46.9444444444,246,4
561,  Medical,50000,8176,83.648,105,77.8666666667,586,5
562,  Medical,5000,2936,41.28,69,42.5507246377,151,2
563,  Medical,10000,7202,27.98,187,38.513368984,8900,7
564,  Medical,2500,3255,30.2,70,46.5,630,3
565,  Medical,5000,4470,10.6,72,62.0833333333,307,3
566,  Medical,10000,4822,51.78,70,68.8857142857,267,3
567,  Medical,9000,2100,76.6666666667,71,29.5774647887,97,3
568,  Charity,5000,2349,53.02,37,63.4864864865,91,29
569,  Charity,10000,1485,85.15,37,40.1351351351,252,29
570,  Charity,5000,925,81.5,16,57.8125,73,17
571,  Charity,8000,1730,78.375,32,54.0625,161,9
572,  Charity,50000,1140,97.72,17,67.0588235294,227,8
576,  Charity,6000,470,92.1666666667,8,58.75,107,1
577,  Sports,8000,1865,76.6875,29,64.3103448276,317,15
578,  Sports,5000,269,94.62,14,19.2142857143,565,16
579,  Sports,1160,1025,11.6379310345,20,51.25,41,36
581,  Sports,3000,2550,15.0,22,115.909090909,83,7
582,  Sports,6000,3770,37.1666666667,48,78.5416666667,384,16
584,  Sports,3000,2225,25.8333333333,13,171.153846154,54,7
585,  Volunteer,5000,545,89.1,10,54.5,104,8
586,  Animals,700,935,33.5714285714,17,55.0,42,1
589,  Animals,10000,4255,57.45,47,90.5319148936,150,5
591,  Animals,7578,8133,7.32383214568,229,35.5152838428,1600,8
592,  Animals,4500,2630,41.5555555556,25,105.2,86,5
593,  Animals,5000,353,92.94,18,19.6111111111,81,3
594,  Animals,2500,3305,32.2,75,44.0666666667,132,5
595,  Volunteer,800,150,81.25,5,30.0,77,4
596,  Animals,3500,4910,40.2857142857,136,36.1029411765,1300,9
597,  Animals,5000,1605,67.9,20,80.25,57,4
598,  Memorials,6000,5300,11.6666666667,60,88.3333333333,240,3
599,  Memorials,3500,4140,18.2857142857,60,69.0,264,4
600,  Memorials,10000,8091,19.09,65,124.476923077,322,4
601,  Memorials,3000,3130,4.33333333333,61,51.3114754098,146,3
603,  Memorials,10000,3370,66.3,62,54.3548387097,824,2
604,  Memorials,8000,3175,60.3125,63,50.3968253968,1800,4
605,  Charity,5000,2450,51.0,35,70.0,344,15
606,  Charity,10000,3995,60.05,53,75.3773584906,235,13
608,  Charity,5000,470,90.6,8,58.75,55,2
609,  Charity,200,90,55.0,8,11.25,76,6
610,  Charity,1500,455,69.6666666667,8,56.875,168,3
611,  Charity,2000,1075,46.25,55,19.5454545455,463,22
614,  Education,7500,535,92.8666666667,9,59.4444444444,33,2
615,  Education,1200,525,56.25,9,58.3333333333,47,2
616,  Education,500,435,13.0,9,48.3333333333,53,3
617,  Education,1000,1105,10.5,31,35.6451612903,57,6
618,  Education,1000,400,60.0,9,44.4444444444,100,2
619,  Education,9000,1740,80.6666666667,28,62.1428571429,183,5
621,  Education,2000,630,68.5,25,25.2,169,9
622,  Emergencies,5000,2547,49.06,47,54.1914893617,196,1
623,  Emergencies,15000,5000,66.6666666667,47,106.382978723,825,3
624,  Emergencies,3000,3000,0.0,52,57.6923076923,219,5
625,  Emergencies,25000,8830,64.68,67,131.791044776,391,4
626,  Emergencies,5000,3720,25.6,49,75.9183673469,375,3
