I/O,Date,Source (1),Source (2),Source Region,Vessel Name,Vessel Size (CBM),Destination (1),Destination (2),Destination (3),Destination (4),Destination (5),Primary Destination Country,Primary Destination Region,C2,C3,C4,iC4,Participant (1),Participant (2),Participant (3),Participant (4),Participant (5),Participant (6),Participant (7),Special Notes
,06/10/11,Iran,Assuleyah,Middle East,Mill House,"82,000",Indonesia,,,,,Indonesia,Southeast Asia,0,"22,000","22,000",0,Petredec,,,,,,,
,06/10/11,Venezuela,Jose,South America,Churun Meru,"20,600",Coastal Venezuela,,,,,Venezuela,South America,0,0,0,"9,807",Pdvsa,,,,,,,
,06/11/11,United Kingdom,Teesside,North Sea,Elisabeth,"3,542",Dunkirk,,,,,France,Northwest Europe,0,"1,600",0,0,Eni,,,,,,,
,06/11/11,Venezuela,Jose,South America,Paramacay,"14,160",Coastal Venezuela,,,,,Venezuela,South America,0,"6,039",0,0,Pdvsa,,,,,,,
,06/11/11,Algeria,Bethioua,Mediterranean,Rhourd El Hamra,"22,760",Naples,,,,,Italy,Mediterranean,0,"11,500",0,0,SPC,,,,,,,
,06/11/11,Venezuela,Jose,South America,Caribe,"20,902",Coastal Venezuela,,,,,Venezuela,South America,0,"5,314","4,089",0,Pdvsa,,,,,,,
,06/11/11,Venezuela,Jose,South America,Navigator Gemini,"20,500",Coastal Venezuela,,,,,Venezuela,South America,0,0,0,"3,581",Pdvsa,,,,,,,
,06/12/11,Kuwait,Mina Al Ahmadi,Middle East,Berge Danuta,"78,551",Australia,,,,,Australia,Australia,0,"44,000",0,0,KPC,Geogas,,,,,,
,06/12/11,Iran,BIK,Middle East,Pacific Harmony,"75,208",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,,,,,,,,
,06/12/11,Qatar,Messaied,Middle East,Captain John NP,"82,000",South Korea,,,,,South Korea,Far East,0,"22,500","22,500",0,E1,,,,,,,
,06/13/11,Venezuela,Jose,South America,Dancing Brave,"22,000",Coastal Venezuela,,,,,Venezuela,South America,0,"8,098",0,0,Pdvsa,,,,,,,
,06/13/11,Algeria,Bethioua,Mediterranean,Barouda,"6,602",Coastal Algeria,,,,,Algeria,Mediterranean,0,0,"4,500",0,SPC,,,,,,,
,06/13/11,Nigeria,,West Africa,BW Princess,"82,383",Ecuador,Chile,,,,Ecuador,South America,0,"33,000","11,000",0,NLNG,Trafigura,PMI,,,,,
,06/13/11,Saudi Arabia,Ras Tanura,Middle East,Maersk Venture,"82,000",Japan,South Korea,,,,Japan,Far East,0,"23,210","23,429",0,SK Gas,Sumitomo,Astomos,,,,,
,06/14/11,Venezuela,Jose,South America,Norgas Energy,"6,126",Coastal Venezuela,,,,,Venezuela,South America,0,"3,130",0,0,Pdvsa,,,,,,,
,06/14/11,Saudi Arabia,Ras Tanura,Middle East,BW Danuta,"78,551",Australia,,,,,Australia,Australia,0,"44,000",0,0,,,,,,,,
,06/14/11,United Arab Emirates,Ruwais,Middle East,Maran Gas Vergina,"83,800",Japan,,,,,Japan,Far East,0,"44,000",0,0,Astomos,,,,,,,
Out of port,06/14/11,United States,"Houston, TX",North America,Berge Ningbo,"82,000",Chile,Brazil,,,,Chile,South America,0,"44,364",0,0,Enterprise,Petrobras,,,,,,
,06/14/11,Venezuela,Jose,South America,Immanuel Schulte,"20,600",Coastal Venezuela,,,,,Venezuela,South America,0,0,"2,323",0,Pdvsa,,,,,,,
,06/14/11,Norway,Kaarstoe,North Sea,Desert Orchid,"22,211",USEC,,,,,United States,North America,0,0,"10,000",0,Petredec,Sunoco,,,,,,
,06/14/11,Norway,Kaarstoe,North Sea,Prins Hendrik,"18,152",LeHavre,,,,,France,Northwest Europe,0,0,"12,000",0,Statoil,,,,,,,
,06/14/11,Kuwait,Mina Al Ahmadi,Middle East,Nanga Parbat,"22,950",India,,,,,India,India,0,0,"13,000",0,KPC,,,,,,,
,06/14/11,United Kingdom,Braefoot Bay,North Sea,BW Helga,"35,058",Pembroke,,,,,United Kingdom,Northwest Europe,0,0,"20,000",0,Statoil,,,,,,,
,06/14/11,Algeria,Bethioua,Mediterranean,Rhourd El Fares,"35,000",Egypt,,,,,Egypt,Mediterranean,0,0,"20,500",0,SPC,EGPC,,,,,,
,06/14/11,Qatar,Ras Laffan,Middle East,Yuyo Spirits,"78,500",South Korea,Japan,,,,South Korea,Far East,0,"22,000","22,000",0,Tasweeq,Astomos,,,,,,
,06/15/11,Venezuela,Jose,South America,Churun Meru,"20,600",Coastal Venezuela,,,,,Venezuela,South America,0,"8,052",0,0,Pdvsa,,,,,,,
,06/15/11,Trinidad,Point Lisas,Caribbean,Aintree,"6,519",Haiti,,,,,Haiti,Caribbean,0,0,"2,500",0,CaribLPG,,,,,,,
,06/15/11,Venezuela,Jose,South America,Navigator Gemini,"20,500",Coastal Venezuela,,,,,Venezuela,South America,0,"8,454","6,506",0,Pdvsa,,,,,,,
,06/15/11,Norway,Kaarstoe,North Sea,Captain Nicholas ML,"82,000",Stenungsund,,,,,Sweden,Northwest Europe,0,"20,000","20,000",0,Statoil,,,,,,,
