"","AptName","T_studioArea","T_studioPrice","T_1bedRoomArea","T_1bedRoomPrice","T_2bedRoomArea","T_2bedRoomPrice","Street","City","State","Postal","ElementarySchool_rating","MiddleSchool_rating","HighSchool_rating","CrimeLevel"
"18","71 Broadway",537,3335,592,3700,1029,4825,"71 Broadway,","New York","NY","10006",NA,"Above Average","Below Average","Low"
"19","777 6th Avenue",525,3530,620,3920,1086,6425,"777 Avenue Of The Americas,","New York","NY","10001","Average","Above Average","Average","Low"
"20","800 Sixth",446,3433,446,4195,924,6910,"800 Avenue Of The Americas,","New York","NY","10001","Average","Above Average","Average","Lowest"
"21","88 Leonard",410,3450,596,3950,913,0,"88 Leonard St,","New York","NY","10013",NA,"Above Average","Average","Low"
"22","89 Murray",NA,NA,NA,NA,0,6840,"89 Murray St,","New York","NY","10007","Above Average","Above Average","Average","Lowest"
"23","90w",0,2645,0,0,0,0,"90 Washington St,","New York","NY","10006",NA,"Above Average","Average","Lowest"
"24","95 Christopher Street",0,3250,0,5100,NA,NA,"95 Christopher St,","New York","NY","10014","Above Average","Above Average","Average","Highest"
"25","95 Wall",425,2780,674,4495,1022,5417,"95 Wall St,","New York","NY","10005",NA,"Above Average","Below Average","Lowest"
"26","Abington House",0,3675,0,4225,0,5270,"500 W 30th St,","New York","NY","10001",NA,NA,NA,"Lowest"
"27","AVA High Line",481,2910,565,3905,909,5770,"525 W 28th St,","New York","NY","10001","Average","Average","Average","Lowest"
"28","Avalon Bowery Place",441,3510,520,4770,765,5740,"11 E 1st St,","New York","NY","10003","Below Average","Average","Average","Low"
"29","Avalon Clinton",398,2987,560,3360,847,6361,"515 W 52nd St,","New York","NY","10019","Below Average","Average","Below Average","Lowest"
"30","Avalon Midtown West",412,3206,658,3478,947,5448,"250 W 50th St,","New York","NY","10019","Below Average","Average","Below Average","Low"
"31","Avalon Morningside Park",483,3585,612,3580,1061,6115,"1 Morningside Dr,","New York","NY","10025","Average","Average","Below Average","Lowest"
"32","Avalon West Chelsea",453,3230,621,3745,882,6810,"282 11th Ave,","New York","NY","10001","Average","Average","Average","Lowest"
"33","Beatrice",434,3885,620,5165,951,7315,"105 W 29th St,","New York","NY","10001","Above Average","Above Average","Average","Lowest"
"34","Capitol at Chelsea",403,3150,573,4031,1082,6089,"55 W 26th St,","New York","NY","10010","Average","Above Average","Average","Lowest"
"35","Columbus Square",408,2935,549,3605,782,4995,"808 Columbus Ave,","New York","NY","10025","Average","Average","Below Average","Lowest"
