"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05"
"El Paso, TX",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87719298245614,0.879772961816305,0.879772961816305,0.9,0.913621262458472,0.87719298245614,0.87609649122807,1.00817438692098,1.09649122807018,1.10640301318267,1.08488395358143,1.09649122807018,1.04373312706646,1,0.893630458318297,0.917456032719836,0.926224394301757,0.948275862068966,0.913621262458472,0.943060498220641,0.96119342516495,0.960970785149117,0.994550408719346,0.95750402669121,0.993133192525353,0.988943488943489,0.965944432925565,0.963884879575689,0.992286559594252
"Columbia, SC",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12879581151832,1.125,1.08166342883512,1.09581497797357,1.16666666666667,1.17283950617284,1.18838033150547,1.23076923076923,1.12997833761232,0.981550632911392,1.02761819523228,0.988924050632911,1.04931335830212,1.0625,1.05134788189987,1.02152852529602,0.975230998397,1.04166666666667,1.05575353045013,1.03174603174603,1.05048859934853,1.05358656230916,1.0365407424231,1.0126582278481,1.04166666666667,1.03068783068783,1.05358656230916,1.08065975649885,1.0828554049357
"Greensboro, NC",66,,,,,,,,,,,,,,,,,,,,,,,,0.841166936790924,0.845514950166113,0.889789303079417,0.842020529443544,0.857374392220421,0.857374392220421,0.837837837837838,0.868055555555556,0.86709886547812,0.848668280871671,0.831987075928918,0.834683954619125,0.824561403508772,0.84005376344086,0.845514950166113,0.845514950166113,0.868731563421829,0.904761904761905,0.853982300884956,0.853982300884956,0.921122994652406,0.876068376068376,0.846153846153846,0.839129942222726,0.853982300884956,0.882468197986375,0.901263537906137,0.9,0.891666666666667,0.869018059888373,0.9142265008691,0.91523569023569,0.93,0.9,0.897154471544716,0.873579545454545,0.873579545454545,0.866970486111111,0.894949066213922,0.895161290322581,0.882352941176471,0.91,0.909090909090909,0.887708333333333,0.884615384615385,0.884615384615385,0.894736842105263,0.88901704723178,0.896739130434783,0.917560728744939,0.911270983213429,0.925925925925926,0.881573170731707
"North Port-Sarasota-Bradenton, FL",67,,,,,,,,,,,,,1.30208333333333,1.28038194444444,1.34408602150538,1.20272314674735,1.1577642249179,1.05548854041013,1.08422395181056,1.12044817927171,1.0931901635696,1.08564535585042,1.11111111111111,1.10337163632504,1.14678899082569,1.14093116237191,1.13484646194927,1.14503816793893,1.13285883748517,1.13285883748517,1.14408866995074,1.13519398750715,1.13285883748517,1.15239587998209,1.13197790982765,1.11483253588517,1.17365967365967,1.21288527812578,1.16625615763547,1.15030674846626,1.15606936416185,1.2,1.15546218487395,1.26262626262626,1.31927039821777,1.36298421807747,1.38643067846608,1.35928882903681,1.26291737274838,1.25,1.24810892586989,1.33934104355427,1.35135135135135,1.34048257372654,1.32760695187166,1.4344262295082,1.39899582125192,1.35,1.39377778508213,1.29727863579136,1.29394932409018,1.29917918017169,1.38425814633263,1.38895417156287,1.36948866180841,1.3648782911078,1.35983263598326,1.48271349862259,1.48525360557446,1.60023432639801,1.69333333333333,1.68742655699177,1.81159420289855,1.65384615384615,1.53061224489796,1.55
"Little Rock, AR",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98326359832636,1.01851851851852,0.982300884955752,1.00284055320322,0.99002849002849,1,0.965853658536585,0.999251497005988,1,1.00833717181023,1.02020958083832,1.02582663753842,1.02587717435168,0.989974937343358,0.895,0.885430283827798,0.870286576168929,0.822863247863248,0.923592493297587,0.9375,0.875243190661479,0.85968028419183,0.857142857142857,0.875486381322957,0.972698327829113,1.00833333333333,0.933151412281847,0.911453193868824,0.9,1.00870034542314,0.967741935483871,0.941666666666667,0.95,0.909090909090909,0.938197708578143,1,1.015625,0.985040680473373,0.985040680473373,0.996597222222222,1.01596335054816,0.998201438848921,1.01590106007067,1.0207100591716,1.01,1.0207100591716,1.0207100591716
"Charleston, SC",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63716814159292,1.53429602888087,1.46153846153846,1.47569444444444,1.52979066022544,1.39633286318759,1.34187988123352,1.56739811912226,1.54105207706201,1.5310657959023,1.4797507788162,1.53461966591996,1.56566970091027,1.52871870397644,1.54378378378378,1.5400641025641,1.53680465015211,1.55081884945462,1.57695138269402,1.5883182822956,1.52295706371191,1.53908984830805,1.57249277513083,1.59705882352941,1.67705088265836,1.55848378212974,1.64089060202553
"Syracuse, NY",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09090909090909,1.14666666666667,1.13392857142857,1.16397849462366,1.18990384615385,1.08712121212121,1.09090909090909,1.1011011011011,1.15,1.1814479638009,1.17948717948718,1.0960050960051
"Colorado Springs, CO",71,,,,,,,,,,,,,,,,,0.964400183150183,0.967929292929293,1.0113432165319,0.992857142857143,0.9375,0.933895131086142,1,1.03222222222222,1.03222222222222,1,0.991666666666667,0.979848866498741,1.01505646173149,1.00735294117647,1.03341584158416,1.03378378378378,1.04916962339161,1.01538461538462,1.04843787373546,1.00250626566416,1.02864319651063,1.02702702702703,1.03555555555556,1.04210526315789,1.03960396039604,1.02577661273313,1.01914646626648,0.978571428571429,0.977329192546584,0.978947368421053,1.04083333333333,1.03099730458221,1.00404312668464,1.01078167115903,1.01013338300499,1.03846153846154,1.07601174934726,1.04669464847849,1.06707481712278,1.08336192109777,1.06488011283498,1.04545454545455,1.05006257822278,1.04166666666667,1.05384615384615,1.06422558922559,1.07322089675031,1.08265027322404,1.13737623762376,1.13636363636364,1.13737623762376,1.1,1.0934393638171,1.12134353988998,1.2,1.17786561264822,1.1830303030303,1.21538461538462,1.15594018231419,1.16666666666667
"Winston-Salem, NC",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706845238095238,0.739367175441605,0.692741935483871,0.706845238095238,0.685391246356765,0.685714285714286,0.706845238095238,0.703422619047619,0.724852071005917,0.733045977011494,0.724852071005917,0.710059171597633,0.707142857142857,0.818512156448203,0.796641282942976,0.807965472027972,0.807965472027972,0.811781609195402,0.875,0.838461538461538,0.823076923076923,0.853846153846154,0.835294117647059,0.868115942028985,0.858823529411765,0.906432748538012,0.925085130533485,0.938888888888889,0.966069246435845,0.982558139534884,1.00868751670676
"Wichita, KS",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855168269230769,0.787631381381381,0.782832363714717,0.791855203619909,0.760135135135135,0.761019948519948,0.838757396449704,0.847457627118644,0.825,0.758620689655172,0.75,0.727788279773157,0.812029569892473,0.775962752525253,0.765472312703583,0.761689291101056,0.772727272727273,0.772727272727273,0.759310344827586
