"","d10comb$PUMA","VAL.y","HINCP.y","HHT_MDC.y","HHT_OF.y","HHT_NFLA.y","HHT_NFNLA.y","SEX_M.y","SEX_F.y","RACE_W.y","RACE_B.y","RACE_AI.y","RACE_AN.y","RACE_AIAN.y","RACE_A.y","RACE_PI.y","RACE_O.y","RACE_2M.y","EDU_NO.y","EDU_NOHS.y","EDU_HS.y","EDU_ALT.y","EDU_SC.y","EDU_AD.y","EDU_BD.y","EDU_MD.y","EDU_PD.y","EDU_DD.y","AGEP.y","PINCP.y","EDU_NONE.y","EDU_HSDIP.y","EDU_HIED.y"
"11","04104",43,6,3,3,1,2,10,8,1,1,-3,0,0,NA,NA,3,4,18,-24,22,12,35,31,50,46,14,22,1,2,-23,26,48
"12","04103",38,5,2,7,-1,4,7,11,-5,0,7,0,-15,NA,NA,4,20,32,-43,53,16,62,59,57,44,15,26,4,-6,-40,53,58
"13","04102",27,6,1,-1,0,1,6,5,0,-1,-7,0,-35,NA,NA,15,8,32,-21,28,23,29,26,27,17,7,6,3,1,-19,29,25
"14","04101",43,14,3,1,2,22,10,10,9,-2,7,0,10,NA,NA,-1,15,3,-33,25,22,39,38,82,59,16,38,3,9,-33,30,70
"15","04018",33,1,0,-1,2,0,3,4,2,0,-9,0,0,NA,NA,5,4,19,-15,19,14,17,24,25,19,8,4,5,0,-15,19,24
"16","04017",40,8,4,5,0,2,21,11,-1,0,0,0,0,NA,NA,8,13,27,-24,38,27,40,34,54,39,17,10,2,4,-22,39,48
"17","04016",33,8,4,4,3,5,13,14,7,1,10,0,0,NA,NA,3,4,40,-25,29,19,35,41,54,46,16,21,4,6,-24,32,52
"18","04015",47,12,3,4,0,5,12,16,9,3,2,0,5,NA,NA,4,12,21,-19,26,19,33,30,47,44,13,19,1,2,-18,29,45
"19","04014",47,9,4,-1,1,3,20,16,16,0,-1,0,10,NA,NA,8,2,32,-14,37,18,29,17,37,35,11,16,-6,4,-12,33,34
"20","04013",47,9,3,2,0,6,12,9,5,0,13,0,5,NA,NA,0,4,19,-22,25,25,30,23,47,39,29,18,0,4,-20,27,45
"21","04012",47,10,3,0,0,5,10,13,0,1,2,0,-10,NA,NA,17,9,41,-15,26,16,24,17,36,20,9,24,-1,2,-13,25,30
"22","04011",40,5,0,-2,2,12,3,4,6,-4,0,0,0,NA,NA,0,14,-2,-15,17,13,26,14,23,18,11,5,5,0,-15,20,22
"23","04010",27,4,0,7,3,4,4,9,0,8,0,0,-10,NA,NA,1,11,4,-23,33,28,43,37,24,23,5,4,11,1,-23,37,28
"24","04009",30,8,6,14,3,3,23,26,6,29,0,0,-5,NA,NA,6,14,23,-30,45,57,73,61,61,50,13,12,4,2,-28,58,60
"25","04008",23,2,1,5,2,0,10,8,6,9,3,0,-5,NA,NA,-7,0,17,-16,35,37,33,22,17,14,0,2,2,3,-15,35,17
"26","04007",25,4,1,-1,2,0,5,5,2,6,2,0,0,NA,NA,5,9,17,-13,23,35,21,20,10,8,1,1,2,3,-11,24,12
"27","04006",47,10,1,-2,1,14,5,2,4,-3,0,0,-5,NA,NA,2,10,-3,-19,20,21,30,16,34,25,11,11,4,8,-19,24,29
"28","04005",67,25,4,-5,-1,3,6,7,5,-1,1,0,-10,NA,NA,-3,30,-8,-22,8,8,14,8,55,72,38,36,-1,27,-22,10,57
"29","04004",43,28,3,1,2,17,12,17,12,0,0,0,-20,NA,NA,2,22,2,-19,12,14,30,17,63,62,39,32,2,19,-19,19,60
"30","04003",47,5,1,-2,3,14,2,4,8,-11,0,0,15,NA,NA,0,16,-20,-19,24,22,26,18,29,19,6,6,8,5,-19,25,25
"31","04002",33,13,2,-1,2,28,11,9,9,7,12,0,5,NA,NA,-28,26,14,-11,18,28,27,12,33,13,3,2,3,9,-11,23,23
"32","04001",47,21,3,-2,4,24,16,13,12,1,-3,0,5,NA,NA,-3,12,11,-17,22,11,25,10,64,37,15,9,-3,19,-16,22,47
"33","03903",24,3,0,6,2,2,6,6,4,0,-1,0,30,NA,NA,-11,45,-4,-29,31,30,48,40,39,30,12,12,4,0,-29,38,39
"34","03902",28,7,-1,-3,0,0,0,-1,-3,2,1,0,10,NA,NA,-1,6,-15,-27,28,21,29,21,30,28,11,10,8,-4,-26,29,29
"35","03901",33,5,-1,2,1,1,-3,-2,-3,0,-5,0,10,NA,NA,0,0,-8,-35,35,21,39,32,37,31,9,8,11,0,-34,35,36
"36","03810",67,18,2,1,-3,-2,3,6,3,1,-1,0,10,NA,NA,0,6,-5,-25,2,4,27,8,69,61,42,39,-5,10,-25,11,62
"37","03809",45,12,0,-1,-2,-3,0,-1,0,1,4,0,5,NA,NA,0,7,-14,-24,17,15,25,11,40,34,11,11,2,3,-23,20,34
"38","03808",50,21,-5,-2,-13,-5,-10,-14,-11,0,4,0,0,NA,NA,-1,-1,0,-33,1,2,21,4,43,42,32,21,-3,7,-32,8,40
"39","03807",67,24,0,1,-7,7,-1,3,-2,1,-3,0,10,NA,NA,-2,8,-3,-28,6,4,21,9,62,59,32,36,-3,30,-27,11,56
"40","03806",80,28,-6,-4,-14,-10,-13,-23,-16,-3,-7,0,0,NA,NA,-7,2,-13,-40,-1,5,15,6,38,65,48,44,1,8,-40,5,49
"41","03805",100,27,-5,-2,-17,-13,-18,-19,-18,0,-5,0,-5,NA,NA,-1,6,-15,-46,-1,3,14,10,62,65,50,61,2,14,-45,4,63
