"","PUMA","Year","X","VAL","HINCP","HHT_MDC","HHT_OF","HHT_NFLA","HHT_NFNLA","SEX_M","SEX_F","RACE_W","RACE_B","RACE_AI","RACE_AN","RACE_AIAN","RACE_A","RACE_PI","RACE_O","RACE_2M","EDU_NO","EDU_NOHS","EDU_HS","EDU_ALT","EDU_SC","EDU_AD","EDU_BD","EDU_MD","EDU_PD","EDU_DD","AGEP","PINCP","EDU_NONE","EDU_HSDIP","EDU_HIED"
"64","03602",2005,4,0,44,17,12,8,3,52,56,45,12,13,0,0,NA,NA,10,9,51,52,2,0,0,0,0,0,0,0,69,35,53,1,0
"65","03701",2005,5,0,33,7,11,9,5,22,27,15,7,0,0,0,NA,NA,20,10,17,24,2,0,0,0,0,0,0,0,82,35,24,1,0
"66","03702",2005,5,0,30,7,26,7,7,33,40,6,47,4,0,0,NA,NA,22,20,35,36,1,0,0,0,0,0,0,0,75,29,36,0,0
"67","03703",2005,5,0,32,6,12,9,5,21,26,14,10,0,0,0,NA,NA,19,7,14,24,1,0,0,0,0,0,0,0,92,34,24,0,0
"68","03704",2005,5,0,31,8,16,8,6,29,34,15,13,0,0,5,NA,NA,32,24,29,31,1,0,0,0,0,0,0,0,80,28,32,1,0
"69","03705",2005,5,0,13,4,27,9,4,29,36,6,25,0,0,15,NA,NA,69,16,54,31,0,0,0,0,0,0,0,0,64,13,32,0,0
"70","03706",2005,5,0,19,4,21,6,7,26,30,8,12,0,0,55,NA,NA,51,17,46,27,0,0,0,0,0,0,0,0,67,17,28,0,0
"71","03707",2005,5,0,12,4,26,7,4,28,33,5,23,0,0,10,NA,NA,61,7,45,29,0,0,0,0,0,0,0,0,63,14,30,0,0
"72","03708",2005,5,0,14,4,21,7,4,24,29,3,20,0,0,0,NA,NA,63,17,44,25,0,0,0,0,0,0,0,0,66,15,26,0,0
"73","03709",2005,5,0,22,7,30,10,4,35,45,8,26,3,0,15,NA,NA,78,23,57,39,1,0,0,0,0,0,0,0,74,20,40,0,0
"74","03710",2005,5,0,11,4,26,8,4,29,36,5,18,4,0,5,NA,NA,86,13,61,31,0,0,0,0,0,0,0,0,65,11,33,0,0
"75","03801",2005,5,0,22,7,25,12,18,35,45,14,9,8,0,25,NA,NA,95,28,47,39,2,0,0,0,0,0,0,0,73,20,40,1,0
"76","03802",2005,5,0,21,4,14,8,13,20,23,9,11,8,0,35,NA,NA,26,15,33,21,3,0,0,0,0,0,0,0,79,23,22,1,0
"77","03803",2005,5,0,20,3,17,9,7,19,23,2,31,4,0,0,NA,NA,10,10,18,21,1,0,0,0,0,0,0,0,72,19,21,0,0
"78","03804",2005,5,0,18,3,17,9,7,19,24,7,14,0,0,15,NA,NA,32,12,24,21,1,0,0,0,0,0,0,0,77,17,22,0,0
"79","03805",2005,6,0,59,15,7,35,31,46,57,47,2,5,0,5,NA,NA,4,11,22,51,7,0,0,0,0,0,0,0,87,86,50,4,0
"80","03806",2005,6,0,56,14,9,28,27,40,51,39,6,7,0,0,NA,NA,10,17,26,44,7,0,0,0,0,0,0,0,88,77,44,4,0
"81","03807",2005,6,0,45,6,6,27,30,32,29,24,3,3,0,0,NA,NA,6,13,19,31,3,0,0,0,0,0,0,0,84,62,31,2,0
"82","03808",2005,6,0,59,10,5,27,27,30,38,29,2,0,0,0,NA,NA,2,13,8,35,3,0,0,0,0,0,0,0,87,85,34,2,0
"83","03809",2005,6,0,21,6,14,17,23,32,33,16,5,0,0,0,NA,NA,15,15,53,32,1,0,0,0,0,0,0,0,83,24,33,1,0
"84","03810",2005,6,0,67,7,5,20,32,31,29,25,1,1,0,0,NA,NA,3,13,21,29,4,0,0,0,0,0,0,0,82,82,29,2,0
"85","03901",2005,6,0,54,16,9,5,5,42,47,43,1,5,0,0,NA,NA,2,7,29,45,1,0,0,0,0,0,0,0,76,38,45,1,0
