"","Name","Edition","City","Country","Owner","Seeker","Trader"
"87","[Mug Shot — «2016 16th Anniversary East China Tumbler»]","Non-City Tumbler","Various","China",1,0,0
"88","[Mug Shot — «2016 16th Anniversary East China Mug»]","Starbucks Anniversary Mugs","Various","China",3,0,1
"89","[Mug Shot — «2016 1000 Stores Tumbler»]","Non-City Tumbler","Various","China",1,0,0
"90","[Mug Shot — «2016 1000 Stores Mug»]","Starbucks Anniversary Mugs","Various","China",3,0,0
"91","[Mug Shot — «DC Cold Cup Tumbler»]","City Tumbler","Washington DC","USA",1,1,0
"92","[Mug Shot — «2016 Ice cone Frappuccino Glass»]","Limited Edition","Various","Taiwan",4,1,1
"93","[Mug Shot — «2016 Yellow and Black Dots 8oz»]","Limited Edition",NA,"USA",0,1,0
"94","[Mug Shot — «2016 Watermelon Popsicle 8oz»]","Limited Edition",NA,"USA",0,0,0
"95","[Mug Shot — «You Are Here Hawaii Water Bottle»]","City Tumbler","Hawaii","USA",2,4,0
"96","[Mug Shot — «2004 Clover Brewed Demitasse»]","Mini Mugs",NA,"USA",2,0,0
"97","[Mug Shot — «The Morning Glory coffee - We proudly brew, Made in USA»]","Limited Edition",NA,"USA",1,1,0
"98","[Mug Shot — «Paris»]","13 You Are Here Series","Paris","France",0,79,0
"99","[Mug Shot — «Vienna»]","13 You Are Here Series","Vienna","Austria",29,59,2
"100","[Mug Shot — «You Are Here in Copenhagen»]","13 You Are Here Series","Copenhagen","Denmark",24,64,1
"101","[Mug Shot — «You Are Here New Orleans Water Bottle»]","City Tumbler","New Orleans","USA",2,7,0
"102","[Mug Shot — «Nantes»]","13 You Are Here Series","Nantes","France",14,67,3
"103","[Mug Shot — «You Are Here San Diego Water Bottle»]","City Tumbler","San Diego","USA",2,4,1
"104","[Mug Shot — «You Are Here Portland Water Bottle»]","City Tumbler","Portland","USA",1,3,0
"105","[Mug Shot — «2016 Whipped Top Frappuccino Cold Cup Orange 16oz»]","Limited Edition","Various","Germany",1,0,0
"106","[Mug Shot — «2016 Stackable Heritage Mug grey 12oz»]","Limited Edition","Various","Germany",2,1,0
"107","[Mug Shot — «2016 Stackable Heritage Mug Blue 12oz»]","Limited Edition","Various","Germany",3,1,1
"108","[Mug Shot — «2016 Stackable heritage Mug Pink 12oz»]","Limited Edition","Various","Germany",5,1,1
"109","[Mug Shot — «2016 Swirl Top Cold Cup Blue 16oz»]","Limited Edition","Various","Germany",3,0,0
"110","[Mug Shot — «2016 Ceramic to Go Mug Soft Pink 8oz»]","Limited Edition","Various","Germany",2,1,0
"111","[Mug Shot — «2016 Swirl Top Cold Cup 16oz»]","Non-City Tumbler","Various","Germany",2,0,0
"112","[Mug Shot — «2016 Tapered Heritage Mug grey 12oz»]","Limited Edition","Various","Germany",4,1,0
"113","[Mug Shot — «2016 Tapered Heritage Mug Blue 12oz»]","6 users","Various","Germany",6,1,0
"114","[Mug Shot — «2016 Tapered Heritage Mug Pink 12oz»]","Limited Edition","Various","Germany",6,1,0
"115","[Mug Shot — «2016 Light BlueThank you Mug»]","Limited Edition","Various","South Korea",4,0,0
"116","[Mug Shot — «2016 Pink Thank you Mug»]","Limited Edition","Various","South Korea",3,0,0
"117","[Mug Shot — «You Are Here Twin Cities Water Bottle»]","City Tumbler","Twin Cities","USA",1,4,0
"118","[Mug Shot — «Munich»]","13 You Are Here Series","Munich","Germany",39,62,8
"119","[Mug Shot — «You Are Here Orlando Water Bottle»]","City Tumbler","Orlando","USA",2,3,0
"120","[Mug Shot — «London»]","13 You Are Here Series","London","United Kingdom",1,93,0
"121","[Mug Shot — «Moscow»]","13 You Are Here Series","Moscow","Russia",38,53,7
"122","[Mug Shot — «You Are Here Kentucky Water Bottle»]","City Tumbler","Kentucky","USA",2,5,0
"123","[Mug Shot — «Kazakhstan - Bayterek Monument»]","08 Icon Edition","Kazakhstan","Kazakhstan",35,109,2
"124","[Mug Shot — «2005 Jazz Band Tumbler»]","Non-City Tumbler",NA,"Japan",2,0,1
"125","[Mug Shot — «You Are Here Wisconsin Water Bottle»]","City Tumbler","Wisconsin","USA",2,4,1
"126","[Mug Shot — «Summer Floral»]","Other...",NA,"USA",4,0,0
"127","[Mug Shot — «Taiyuan»]","Relief Series","Taiyuan","China",12,21,2
"128","[Mug Shot — «Kazakhstan»]","Icon Tumbler","Kazakhstan","Kazakhstan",3,3,1
"129","[Mug Shot — «Berlin»]","13 You Are Here Series","Berlin","Germany",12,79,2
"130","[Mug Shot — «2016 Sakura Troy Stainless Steel Tumbler»]","Non-City Tumbler","Various","South Korea",3,1,0
"131","[Mug Shot — «Waking Up Bakersfield»]","Non-City Tumbler","Bakersfield","USA",1,0,0
"132","[Mug Shot — «2016 Paul&Joe Crabs Traveler»]","Limited Edition","Various","Taiwan",5,2,2
"133","[Mug Shot — «2016 Paul&Joe Kitten Traveler»]","Limited Edition","Various","Taiwan",7,1,3
"134","[Mug Shot — «Foshan»]","Relief Series","Foshan","China",10,26,2
"135","[Mug Shot — «Harbin»]","Relief Series","Harbin","China",10,26,2
"136","[Mug Shot — «Changchun»]","Relief Series","Changchun","China",11,26,2
"137","[Mug Shot — «Shenyang»]","Relief Series","Shenyang","China",13,25,2
"138","[Mug Shot — «Dalian»]","Relief Series","Dalian","China",13,25,2
"139","[Mug Shot — «Seattle Sonics»]","City Tumbler","Seattle","USA",0,0,0
"140","[Mug Shot — «Palembang»]","Indonesia Dancers","Palembang","Indonesia",1,1,0
"141","[Mug Shot — «2016 Cubic Roastery Mug»]","Limited Edition","Seattle","USA",2,1,0
"142","[Mug Shot — «2016 Blue Tung Flower Mug»]","Limited Edition","Various","Taiwan",3,0,1
"143","[Mug Shot — «2016 Lemon Bottle»]","Limited Edition","Various","South Korea",0,0,0
"144","[Mug Shot — «2016 Strawberry Bottle»]","Limited Edition","Various","South Korea",0,0,0
"145","[Mug Shot — «2016 Summer Raspberry Logo Mug»]","Limited Edition","Various","South Korea",1,2,0
"146","[Mug Shot — «2016 Summer Mint Logo Mug»]","Limited Edition","Various","South Korea",1,1,0
"147","[Mug Shot — «2016 Hangeul Scripture Mug»]","Limited Edition","Various","South Korea",5,0,0
"148","[Mug Shot — «2016 Summer Blueberry Demimug»]","Limited Edition","Various","South Korea",4,1,0
"149","[Mug Shot — «2016 Summer Strawberry Demimug»]","Limited Edition","Various","South Korea",5,2,0
"150","[Mug Shot — «2016 Summer Lemon Demimug»]","Limited Edition","Various","South Korea",4,2,0
"151","[Mug Shot — «You Are Here North Carolina Water Bottle»]","City Tumbler","North Carolina","USA",2,3,0
"152","[Mug Shot — «You Are Here Dallas Water Bottle»]","City Tumbler","Dallas","USA",2,3,0
"153","[Mug Shot — «You Are Here Alaska Water Bottle»]","City Tumbler","Alaska","USA",1,4,0
"154","[Mug Shot — «You Are Here Virginia Water Bottle»]","City Tumbler","Virginia","USA",3,4,1
"155","[Mug Shot — «You Are Here Philadelphia Water Bottle»]","City Tumbler","Philadelphia","USA",2,3,0
"156","[Mug Shot — «You Are Here Ohio Water Bottle»]","City Tumbler","Ohio","USA",2,4,0
"157","[Mug Shot — «You Are Here New Jersey Water Bottle»]","City Tumbler","New Jersey","USA",3,4,0
"158","[Mug Shot — «You Are Here Nashville Water Bottle»]","City Tumbler","Nashville","USA",2,3,0
"159","[Mug Shot — «You Are Here Illinois Water Bottle»]","City Tumbler","Illinois","USA",3,3,0
"160","[Mug Shot — «You Are Here Houston Water Bottle»]","City Tumbler","Houston","USA",5,2,0
"161","[Mug Shot — «You Are Here Colorado Water Bottle»]","City Tumbler","Colorado","USA",4,3,1
"162","[Mug Shot — «You Are Here Atlanta Water Bottle»]","City Tumbler","Atlanta","USA",2,3,0
"163","[Mug Shot — «You Are Here Arizona Water Bottle»]","City Tumbler","Arizona","USA",4,4,2
"164","[Mug Shot — «Johannesburg»]","13 You Are Here Series","Johannesburg","South Africa",52,50,5
"165","[Mug Shot — «South Africa - Bushveld Fauna»]","08 Icon Edition",NA,"South Africa",82,89,10
"166","[Mug Shot — «Lijiang Relief Mug»]","Relief Series","Lijiang","China",12,23,2
"167","[Mug Shot — «Wuhan Relief Mug»]","Relief Series","Wuhan","China",13,22,2
"168","[Mug Shot — «Kunming Relief Mug»]","Relief Series","Kunming","China",13,21,2
"169","[Mug Shot — «Changsha Relief Mug»]","Relief Series","Changsha","China",13,21,2
"170","[Mug Shot — «2016 Green Elements Mug»]","Limited Edition","Various","China",0,0,0
