"OPEID","Name","Address","City","State","State Desc","Zip Code","Zip Ext","Program Length","Sch Type","Year 1","Num 1","Denom 1","DRate 1","PRate 1","Ethnic Code","Cong Dis","Region","Average or Greater Than 30","Year 2","Num 2","Denom 2","DRate 2","PRate 2","Year 3","Num 3","Denom 3","DRate 3","PRate 3"
"001033","OAKWOOD UNIVERSITY","7000 ADVENTIST BOULEVARD, NORTHWEST","HUNTSVILLE","AL","ALABAMA","35896","0001","8","2","2012","68","540","12.5","A","2","05","04","0","2011","55","514","10.7","A","2010","104","484","21.4","A"
"001034","ALABAMA SOUTHERN COMMUNITY COLLEGE","2800 SOUTH ALABAMA AVENUE","MONROEVILLE","AL","ALABAMA","36460","5698","5","1","2012","N/A","N/A","N/A","P","5","01","04","0","2011","N/A","N/A","N/A","P","2010","N/A","N/A","N/A","P"
"001036","SAMFORD UNIVERSITY","800 LAKESHORE DRIVE","BIRMINGHAM","AL","ALABAMA","35229","7000","8","2","2012","7","911","0.7","A","5","06","04","0","2011","11","821","1.3","A","2010","21","788","2.6","A"
"001038","SNEAD STATE COMMUNITY COLLEGE","220 NORTH WALNUT STREET","BOAZ","AL","ALABAMA","35957","0734","5","1","2012","N/A","N/A","N/A","A","5","04","04","0","2011","N/A","N/A","N/A","A","2010","N/A","N/A","N/A","A"
"001040","SOUTHERN UNION STATE COMMUNITY COLLEGE","750 ROBERTS STREET","WADLEY","AL","ALABAMA","36276","0000","5","1","2012","158","914","17.2","P","5","03","04","0","2011","224","988","22.6","P","2010","143","743","19.2","P"
"001041","SPRING HILL COLLEGE","4000 DAUPHIN STREET","MOBILE","AL","ALABAMA","36608","1791","8","2","2012","28","420","6.6","A","5","01","04","0","2011","29","358","8.1","A","2010","30","357","8.4","A"
"001044","STILLMAN COLLEGE","3601 STILLMAN BOULEVARD","TUSCALOOSA","AL","ALABAMA","35401","1430","6","2","2012","83","442","18.7","A","2","07","04","0","2011","91","413","22","A","2010","70","351","19.9","A"
"001046","TALLADEGA COLLEGE","627 WEST BATTLE STREET","TALLADEGA","AL","ALABAMA","35160","2354","6","2","2012","106","377","28.1","A","2","03","04","0","2011","71","246","28.8","A","2010","57","155","36.7","A"
"001047","TROY UNIVERSITY","UNIVERSITY AVENUE                  ADAMS ADMINISTR","TROY","AL","ALABAMA","36082","0001","8","1","2012","996","8713","11.4","P","5","02","04","0","2011","1116","8422","13.2","P","2010","970","6855","14.1","P"
"001050","TUSKEGEE UNIVERSITY","308 KRESGE CENTER","TUSKEGEE INSTITUTE","AL","ALABAMA","36088","1645","8","2","2012","116","901","12.8","P","2","03","04","0","2011","103","787","13","P","2010","128","752","17","P"
"001051","UNIVERSITY OF ALABAMA","ROSE ADMINISTRATION BUILDING       UNIVERSITY BOUL","TUSCALOOSA","AL","ALABAMA","35487","0120","8","1","2012","317","5023","6.3","P","5","07","04","0","2011","383","4677","8.1","P","2010","324","3933","8.2","P"
"001052","UNIVERSITY OF ALABAMA AT BIRMINGHAM","1530 3RD AVENUE SOUTH              HILL UNIVERSITY","BIRMINGHAM","AL","ALABAMA","35294","1150","8","1","2012","245","3937","6.2","P","5","07","04","0","2011","278","3475","8","P","2010","223","3153","7","P"
"001055","UNIVERSITY OF ALABAMA IN HUNTSVILLE","212 UNIVERSITY CENTER","HUNTSVILLE","AL","ALABAMA","35899","0001","8","1","2012","93","1513","6.1","A","5","05","04","0","2011","108","1392","7.7","A","2010","102","1208","8.4","A"
"001057","UNIVERSITY OF SOUTH ALABAMA","307 UNIVERSITY BOULEVARD NORTH","MOBILE","AL","ALABAMA","36688","0002","8","1","2012","289","3847","7.5","P","5","01","04","0","2011","252","3514","7.1","P","2010","255","3107","8.2","P"
"001059","LAWSON STATE COMMUNITY COLLEGE","3060 WILSON ROAD, SOUTHWEST","BIRMINGHAM","AL","ALABAMA","35221","1798","5","1","2012","N/A","N/A","N/A","P","2","07","04","0","2011","N/A","N/A","N/A","P","2010","N/A","N/A","N/A","P"
"001060","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","1900 HIGHWAY 31 SOUTH","BAY MINETTE","AL","ALABAMA","36507","2698","5","1","2012","180","1107","16.2","A","5","01","04","0","2011","164","1011","16.2","A","2010","149","820","18.1","A"
"001061","ALASKA PACIFIC UNIVERSITY","4101 UNIVERSITY DRIVE","ANCHORAGE","AK","ALASKA","99508","4672","8","2","2012","16","207","7.7","A","5","AL","10","0","2011","15","189","7.9","A","2010","14","199","7","A"
"001063","UNIVERSITY OF ALASKA FAIRBANKS","3RD FLOOR, SIGNER'S HALL","FAIRBANKS","AK","ALASKA","99775","7500","8","1","2012","162","1287","12.5","P","5","AL","10","0","2011","140","1200","11.6","P","2010","125","1013","12.3","P"
"001065","UNIVERSITY OF ALASKA SOUTHEAST","11120 GLACIER HIGHWAY","JUNEAU","AK","ALASKA","99801","8680","8","1","2012","54","465","11.6","P","5","AL","10","0","2011","51","429","11.8","P","2010","37","356","10.3","P"
"001071","ARIZONA WESTERN COLLEGE","2020 SOUTH AVENUE 8E               FINANCIAL AID O","YUMA","AZ","ARIZONA","85365","8847","5","1","2012","141","522","27","A","3","07","09","0","2011","100","466","21.4","A","2010","118","419","28.1","A"
"001072","COCHISE COLLEGE","4190 WEST HIGHWAY 80","DOUGLAS","AZ","ARIZONA","85607","6190","5","1","2012","36","374","9.6","A","3","08","09","0","2011","34","376","9","A","2010","68","364","18.6","A"
"001073","EASTERN ARIZONA COLLEGE","615 NORTH STADIUM AVENUE","THATCHER","AZ","ARIZONA","85552","0769","5","1","2012","N/A","N/A","N/A","A","5","01","09","0","2011","N/A","N/A","N/A","A","2010","N/A","N/A","N/A","A"
