OPEID,SCHOOL,ADDR,CITY,STATE,ST_DESC,ZIP,ZIP_EXT,Country,LONGEST PROGRAM LENGTH,SCHOOL TYPE,COHORT YEAR,NUMBER IN DEFAULT,NUMBER ENTERING REPAYMENT,DEFAULT RATE,PRATE,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
005733,Bevill State Community College,Highway 78 West and State Street,Sumiton,AL,Alabama,35148,0000,,Associate's Degree,Pub,2009,0,0,0,P,,B,04,04,1
005734,H. Councill Trenholm State Technical College,1225  Air Base Boulevard,Montgomery,AL,Alabama,36108,0020,,Associate's Degree,Pub,2009,0,0,0,P,H,B,02,04,1
008988,Lurleen B. Wallace Community College,1000 Dannelly Boulevard,Andalusia,AL,Alabama,36420,0418,,Associate's Degree,Pub,2009,0,0,0,P,,B,02,04,1
022850,Paul Mitchell The School Huntsville,3810 Sullivan St,Madison,AL,Alabama,35758,0000,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,0,0,A,,B,05,04,1
030325,Alabama State College of Barber Styling,9480 Parkway East,Birmingham,AL,Alabama,35215,8308,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,0,0,A,,B,06,04,1
038943,Huntsville Bible College,904 Oakwood Avenue,Huntsville,AL,Alabama,35811,0000,,Bachelor's Degree,Priv,2009,0,0,0,A,,B,5,04,0
041492,Xcell Academy-A Paul Mitchell Partner School,1694 Montgomery Highway,Hoover,AL,Alabama,35216,4990,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,0,0,A,,B,6,04,0
041215,Columbia Southern University,21982 University Lane,Orange Beach,AL,Alabama,36561,3815,,Master's Degree or Doctor's Degree,Prop,2009,5,58,8.6,A,,B,1,04,0
040663,Cardiac and Vascular Institute of Ultrasound,1729 Springhill Avenue,Mobile,AL,Alabama,36604,1411,,Non-Degree 3 Plus Years (>= 2700 hours),Prop,2009,0,0,0,A,,B,1,04,0
040673,Selma University,1501 Lapsley Street,Selma,AL,Alabama,36701,5232,,Master's Degree or Doctor's Degree,Priv,2009,0,0,0,A,H,B,7,04,0
020870,Ozarka College,218 College Drive,Melbourne,AR,Arkansas,72556,0010,,Associate's Degree,Pub,2009,102,291,35,A,,B,01,06,1
012260,East Arkansas Community College,1700 Newcastle Road,Forrest City,AR,Arkansas,72335,2204,,Associate's Degree,Pub,2009,17,96,17.7,A,,B,01,06,1
007921,Paul Mitchell The School Arkansas,2167 West Martin Luther King Jr.,Fayetteville,AR,Arkansas,72701,6216,,Non-Degree 1 Year (900-1799 hours),Prop,2009,12,40,30,A,,B,03,06,1
020735,University of Arkansas Community College at Batesville,2005 White Drive,Batesville,AR,Arkansas,72503,0000,,Associate's Degree,Pub,2009,97,306,31.6,A,,B,01,06,1
012105,National Park Community College,101 College Drive,Hot Springs,AR,Arkansas,71913,9174,,Associate's Degree,Pub,2009,115,361,31.8,P,,B,04,06,1
012261,North Arkansas College,1515 Pioneer Drive,Harrison,AR,Arkansas,72601,5508,,Associate's Degree,Pub,2009,83,333,24.9,P,,B,03,06,1
005707,Southeast Arkansas College,1900 Hazel Street,Pine Bluff,AR,Arkansas,71603,3900,,Associate's Degree,Pub,2009,59,263,22.4,A,,B,04,06,1
030076,Arkansas Beauty School/Conway,1061 Markham Street,Conway,AR,Arkansas,72032,4354,,Non-Degree 1 Year (900-1799 hours),Prop,2009,11,52,21.1,A,,B,02,06,1
007738,Southern Arkansas University Tech,6415 Spellman Road,Camden,AR,Arkansas,71701,1900,,Associate's Degree,Pub,2009,26,121,21.4,A,,B,04,06,1
001086,University of Arkansas at Pine Bluff,1200 North University Drive,Pine Bluff,AR,Arkansas,71601,2790,,Master's Degree or Doctor's Degree,Pub,2009,288,965,29.8,A,H,B,04,06,1
001095,Crowley's Ridge College,100 College Drive,Paragould,AR,Arkansas,72450,9775,,Bachelor's Degree,Priv,2009,17,53,32,A,,B,01,06,1
001104,Phillips Community College of the University of Arkansas,1000 Campus Drive,Helena,AR,Arkansas,72342,0000,,Associate's Degree,Pub,2009,29,125,23.2,A,,B,01,06,1
039123,Crossett School of Cosmetology,121 Pine Street,Crossett,AR,Arkansas,71635,0000,,Non-Degree 1 Year (900-1799 hours),Prop,2009,5,14,35.7,A,,B,4,06,1
025696,Searcy Beauty College,1004 South Main,Searcy,AR,Arkansas,72143,0000,,Non-Degree 1 Year (900-1799 hours),Prop,2009,13,34,38.2,A,,B,02,06,1
039973,Arkansas Beauty College,109 North Commerce Avenue,Russellville,AR,Arkansas,72801,3741,,Non-Degree 1 Year (900-1799 hours),Prop,2009,2,14,14.2,A,,B,3,06,1
020522,Black River Technical College,1410 Highway 304 East,Pocahontas,AR,Arkansas,72455,0468,,Associate's Degree,Pub,2009,90,338,26.6,A,,B,01,06,1
020753,Pulaski Technical College,3000 West Scenic Drive,North Little Rock,AR,Arkansas,72118,3347,,Associate's Degree,Pub,2009,612,2463,24.8,A,,B,02,06,1
001085,University of Arkansas at Monticello,140 University Drive,Monticello,AR,Arkansas,71656,0000,,Master's Degree or Doctor's Degree,Pub,2009,267,947,28.1,P,,B,04,06,1
031249,Imagine - Paul Mitchell Partner School,4201 East McCain Boulevard,North Little Rock,AR,Arkansas,72117,2516,,Non-Degree 1 Year (900-1799 hours),Prop,2009,8,31,25.8,A,,B,02,06,1
023635,Arthur's Beauty College,2000 North B Street,Fort Smith,AR,Arkansas,72901,3342,,Non-Degree 1 Year (900-1799 hours),Prop,2009,3,14,21.4,A,,B,03,06,1
022724,Eastern College of Health Vocations,200 South University Avenue,Little Rock,AR,Arkansas,72205,3535,,Non-Degree 1 Year (900-1799 hours),Prop,2009,147,475,30.9,A,,B,02,06,1
005732,University of Arkansas Community College at Hope,2500 South Main,Hope,AR,Arkansas,71801,0000,,Associate's Degree,Pub,2009,17,78,21.7,A,,B,04,06,1
001110,University of Arkansas at Fort Smith,5210 Grand Avenue,Fort Smith,AR,Arkansas,72904,7397,,Bachelor's Degree,Pub,2009,214,1137,18.8,A,,B,03,06,1
001087,Arkansas Baptist College,1621 Doctor Martin L. King Drive,Little Rock,AR,Arkansas,72202,6099,,Bachelor's Degree,Priv,2009,49,151,32.4,A,H,B,02,06,1
038553,Ecclesia College,9653 Nations Drive,Springdale,AR,Arkansas,72762,8159,,Bachelor's Degree,Priv,2009,6,25,24,A,,B,03,06,1
030633,NorthWest Arkansas Community College,One College Avenue,Bentonville,AR,Arkansas,72712,5190,,Associate's Degree,Pub,2009,143,702,20.3,A,,B,03,06,1
022842,New Tyler Barber College,1221 East 7th Street,North Little Rock,AR,Arkansas,72114,4973,,Non-Degree 1 Year (900-1799 hours),Prop,2009,9,42,21.4,A,,B,02,06,1
020746,South Arkansas Community College,300 South West Avenue,El Dorado,AR,Arkansas,71731,7010,,Associate's Degree,Pub,2009,40,233,17.1,P,,B,04,06,1
012860,Arkansas Northeastern College,2501 South Division,Blytheville,AR,Arkansas,72316,1109,,Associate's Degree,Pub,2009,31,131,23.6,P,,B,01,06,1
009976,College of the Ouachitas,One College Drive,Malvern,AR,Arkansas,72104,0816,,Associate's Degree,Pub,2009,26,145,17.9,A,,B,04,06,1
001107,Southern Arkansas University,100 East University,Magnolia,AR,Arkansas,71753,5000,,Master's Degree or Doctor's Degree,Pub,2009,129,739,17.4,A,,B,04,06,1
001089,Arkansas Tech University,215 West O Street,Russellville,AR,Arkansas,72801,2222,,Master's Degree or Doctor's Degree,Pub,2009,308,1663,18.5,P,,B,03,06,1
001090,Arkansas State University,2105 Aggie Road,Jonesboro,AR,Arkansas,72401,0000,,Master's Degree or Doctor's Degree,Pub,2009,735,3794,19.3,P,,B,01,06,1
025385,Arthur's Beauty College,2600 John Harden Drive,Jacksonville,AR,Arkansas,72076,1819,,Non-Degree 1 Year (900-1799 hours),Prop,2009,34,102,33.3,A,,B,02,06,1
001091,Arkansas State University - Beebe,1000 Iowa Street,Beebe,AR,Arkansas,72012,1000,,Associate's Degree,Pub,2009,138,607,22.7,P,,B,02,06,1
005245,University of Arkansas Community College at Morrilton,1537 University Boulevard,Morrilton,AR,Arkansas,72110,9601,,Associate's Degree,Pub,2009,48,254,18.8,A,,B,02,06,1
001093,Central Baptist College,1501 College Avenue,Conway,AR,Arkansas,72034,6470,,Bachelor's Degree,Priv,2009,20,130,15.3,A,,B,02,06,1
001101,University of Arkansas at Little Rock,2801 South University,Little Rock,AR,Arkansas,72204,1099,,Master's Degree or Doctor's Degree,Pub,2009,425,2881,14.7,A,,B,02,06,1
001098,Henderson State University,1100 Henderson Street,Arkadelphia,AR,Arkansas,71999,0001,,Master's Degree or Doctor's Degree,Pub,2009,169,954,17.7,A,,B,04,06,1
001103,Philander Smith College,900 West Daisy Gaston Bates Drive,Little Rock,AR,Arkansas,72202,3718,,Bachelor's Degree,Priv,2009,46,218,21.1,A,H,B,02,06,1
001092,University of Central Arkansas,201 Donaghey Avenue,Conway,AR,Arkansas,72035,0001,,Master's Degree or Doctor's Degree,Pub,2009,325,2558,12.7,A,,B,02,06,1
